model,arm,checkpoint,probe_name,layer,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track
qwen,sft,40,E_general,18,-0.000125786163522,5,E_general,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0060830672209704,0.0718294093385338,-0.0041653781231616,128,qwen_d4_merged_state
qwen,sft,40,E_if,18,-0.00404589791076216,5,E_if,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0140349230420897,0.1195923464851326,-0.0196918449876743,541,qwen_d4_merged_state
qwen,sft,40,E_math,18,-0.00222139274073126,5,E_math,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0104560177612584,0.0739074094509705,0.0024963179761543,500,qwen_d4_merged_state
qwen,sft,40,E_ood,18,-0.00325333544714922,5,E_ood,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0058878072977677,0.058759479506989,-0.0077570666353494,128,qwen_d4_merged_state
qwen,sft,160,E_general,18,0.0002009499261576,5,E_general,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0352649032720364,0.1364397915895097,0.0219267560423759,128,qwen_d4_merged_state
qwen,sft,160,E_if,18,0.008718235698049321,5,E_if,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.1235186741403312,0.2904698672582173,0.0865284919690568,541,qwen_d4_merged_state
qwen,sft,160,E_math,18,0.00453898321045114,5,E_math,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0910046442300081,0.2027569799348711,0.0694814467346295,500,qwen_d4_merged_state
qwen,sft,160,E_ood,18,0.0034781637440338595,5,E_ood,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0389892525054165,0.1211513713933527,0.0021027589955338,128,qwen_d4_merged_state
qwen,offkd,5,E_general,18,0.00124865861613248,5,E_general,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0034577588648971,0.0605343906208872,-0.0070279487881634,128,qwen_d4_merged_state
qwen,offkd,5,E_if,18,-0.00047508133688255996,5,E_if,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0059114701102544,0.0865357961443678,-0.0216375116496424,541,qwen_d4_merged_state
qwen,offkd,5,E_math,18,-0.00095126848167618,5,E_math,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0047199525018222,0.0532230763067491,-0.0050037585095269,500,qwen_d4_merged_state
qwen,offkd,5,E_ood,18,-0.00246949291677762,5,E_ood,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0038682319809595,0.0488096647604834,-0.0039422621807716,128,qwen_d4_merged_state
qwen,offkd,20,E_general,18,0.0023416101742902403,5,E_general,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0078353098360821,0.0876476093544624,-0.0047583684981873,128,qwen_d4_merged_state
qwen,offkd,20,E_if,18,-0.0054955122092235605,5,E_if,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.016504170226756,0.1362697595176106,-0.024357691545783,541,qwen_d4_merged_state
qwen,offkd,20,E_math,18,-0.0034791866408240397,5,E_math,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0111479984179604,0.0795901548545807,0.0002527322068344,500,qwen_d4_merged_state
qwen,offkd,20,E_ood,18,-0.00437611825845236,5,E_ood,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0080556028333376,0.070563077024417,-0.0064938739951685,128,qwen_d4_merged_state
qwen,offkd,40,E_general,18,0.00371605495394478,5,E_general,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0104234433965757,0.0997606581659056,0.0003538817536536,128,qwen_d4_merged_state
qwen,offkd,40,E_if,18,-0.00294141233422688,5,E_if,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0221794033715718,0.1561967881186391,-0.0143708334706358,541,qwen_d4_merged_state
qwen,offkd,40,E_math,18,-0.00153009008478396,5,E_math,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0184634746019728,0.098341128244996,0.0086793604344129,500,qwen_d4_merged_state
qwen,offkd,40,E_ood,18,-0.0017802873542182602,5,E_ood,7.518238427499975e-06,1.9394937810700086e-05,7.490312015890747e-05,0.0002282370088713,qwen_existing_deployed_effective,0.0107114825004828,0.0806520727346651,-0.0058818583147512,128,qwen_d4_merged_state
qwen,offkd,160,E_general,18,0.013940695963790939,5,E_general,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0168283798193442,0.127483619726263,0.0052927043252566,128,qwen_d4_merged_state
qwen,offkd,160,E_if,18,0.0161661991189558,5,E_if,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0340819757779485,0.1880835059706583,0.0185530619829628,541,qwen_d4_merged_state
qwen,offkd,160,E_math,18,0.01654900987285368,5,E_math,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0441670121997594,0.1516895637102425,0.0297173814778216,500,qwen_d4_merged_state
qwen,offkd,160,E_ood,18,0.016392286588813983,5,E_ood,4.81878055325069e-06,1.8228949946725545e-05,6.88340722782712e-05,0.0002299271873198,qwen_existing_deployed_effective,0.0241258888636366,0.1114628089417237,0.0005273734350339,128,qwen_d4_merged_state
qwen,seqkd,5,E_general,18,0.00106992819787022,5,E_general,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0030900243264113,0.0570815071114338,-0.0070371836291087,128,qwen_d4_merged_state
qwen,seqkd,5,E_if,18,8.017592889540009e-06,5,E_if,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0053507652923003,0.0824910977962056,-0.0223718570664098,541,qwen_d4_merged_state
qwen,seqkd,5,E_math,18,-0.00072077928998696,5,E_math,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0042449924362008,0.050289614805486,-0.0048362830680562,500,qwen_d4_merged_state
qwen,seqkd,5,E_ood,18,-0.0020054557938078,5,E_ood,5.201076013301125e-06,1.5341185514574007e-05,5.167947217289526e-05,0.0001746841366444,qwen_existing_deployed_effective,0.0033946053454201,0.0456826197041664,-0.0041799333416747,128,qwen_d4_merged_state
qwen,seqkd,20,E_general,18,0.0028516359801213998,5,E_general,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0081345689577574,0.0891991320240777,-0.0033315099753963,128,qwen_d4_merged_state
qwen,seqkd,20,E_if,18,-0.0040378803178725995,5,E_if,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.017343781901396,0.139391358459778,-0.0218982475645351,541,qwen_d4_merged_state
