model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0
qwen,opd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854605223609055,1.0148837042792676,0.992638793686369,0.995149392204792,0.9963099523841396,0.93739914894104,-0.0074327029287815,0.9999796152114868
qwen,opd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180238475076269,1.0027608623338653,0.998622407695674,0.998943235424836,0.999248327586258,0.9903820753097534,-0.0054014381021261,0.999989092350006
qwen,opd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248331425442834,1.0037980375135362,0.9981063573975236,0.9984556529322294,0.998876330007484,0.9571158289909364,0.0965463370084762,0.99999338388443
qwen,opd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1251370446076645,1.025544921807844,0.9874515816406138,0.994272997444545,0.995615725127786,0.920821487903595,-0.028794877231121,0.9983099102973938
qwen,opd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0857016838385072,1.0149638980585023,0.9925995165997896,0.9951544338207527,0.9963202290027268,0.936863899230957,-0.0073359971866011,0.9999477863311768
qwen,opd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181405908660814,1.0027809673347774,0.9986123962430256,0.9989392151681886,0.9992444315728048,0.990226984024048,-0.0041890279389917,0.999971866607666
qwen,opd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248353242017083,1.0037992304832457,0.9981057642498632,0.9984555461768924,0.9988773739700896,0.9566214680671692,0.0973483622074127,0.9999816417694092
qwen,opd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1285839106482585,1.0268763265799388,0.9868071699645644,0.9943080678136712,0.9956467530683948,0.9206600785255432,-0.0288482513278722,0.9969181418418884
qwen,opd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.0868252466377293,1.015195582764399,0.9924861744687116,0.9950966946396836,0.9962812020311202,0.9367428421974182,-0.0076904580928385,0.999923586845398
qwen,opd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0185377308478134,1.002848518084987,0.998578762116302,0.9989159034339814,0.9992287821001916,0.9899600744247437,-0.0044435895979404,0.9999278783798218
qwen,opd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252163235503289,1.0038627109320224,0.9980742049519704,0.998430358617522,0.9988600523905972,0.9563950896263124,0.0958184525370597,0.9999672174453736
qwen,opd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.125888793688464,1.0253669458557806,0.9875388664838886,0.9941119884068526,0.9955000060920072,0.915513813495636,-0.0295240674167871,0.9893866777420044
qwen,opd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.088013363759586,1.01550933182476,0.9923326193893732,0.9950759106115136,0.9962670200981948,0.9372540712356568,-0.0075266570784151,0.999745547771454
qwen,opd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0182839525007417,1.0028061502325645,0.9985998571528546,0.9989298270156792,0.9992392246536024,0.9900854229927064,-0.0029880076181143,0.9996589422225952
qwen,opd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0253777598952416,1.003890788903272,0.9980602468652496,0.998420355353865,0.9988535445038698,0.9572868347167968,0.0976685956120491,0.9998973608016968
qwen,opd,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.127341479221019,1.0261708906029745,0.9871491203437224,0.9942195533146896,0.995588665098412,0.9226142168045044,-0.0291797332465648,0.9970377683639526
qwen,sft,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.085399595038116,1.0148648788785917,0.9926480125579956,0.9951494206475138,0.9963085080276498,0.937258005142212,-0.0072952890768647,0.9999983906745912
qwen,sft,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179929361631377,1.0027552729830815,0.9986251910066892,0.99894447268631,0.9992490318829962,0.9904348254203796,-0.0046616001054644,0.999991774559021
qwen,sft,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.024907038990995,1.003809664261841,0.9981005769268696,0.9984509905491292,0.9988722520349675,0.95705384016037,0.0968749597668647,0.9999977350234984
qwen,sft,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.124152850236756,1.0250809296793288,0.9876765267458032,0.994231002883272,0.9955819208916408,0.9200966954231262,-0.0290081109851598,0.99995219707489
qwen,sft,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.085684152142357,1.0149205348466224,0.9926207791076728,0.995134342057266,0.996297277777799,0.9371904134750366,-0.0072828452102839,0.9999893307685852
qwen,sft,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180353937540452,1.0027623524443203,0.9986216657682844,0.9989420639593442,0.9992473101067952,0.9904041290283204,-0.0046965344808995,0.9999906420707704
qwen,sft,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.024943150051311,1.003815371091153,0.9980977397141912,0.9984484053627966,0.998870247163608,0.9569709300994872,0.0971614122390747,0.999995231628418
qwen,sft,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1229028639938128,1.0245113512610693,0.9879527673860322,0.99418088483598,0.9955431206482744,0.9158248901367188,-0.0295998677611351,0.9901294112205504
qwen,sft,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.08670297332658,1.015125136612541,0.9925206710088116,0.995084288255778,0.9962578560691102,0.9366374611854552,-0.0073760263621807,0.9999790191650392
