probe_name,path,exists,source_rows,used_rows,sample_rule,source_sha256,manifest_sample_ids_sha256,manifest_text_sha256
E_general,/root/autodl-tmp/cycle09_block3/qwen_domain_probes/corpora/E_general.jsonl,True,128,32,first_32_from_formal_probe_order,7ce008a8c43434a894c09351c7b78d98b14980a3e12956156aca1a7881a40ecb,820da1c54250ecbafdba038ce3dd17c60beba2baee2d8303495f9e19501e9828,ba7ff655302084157d238dd3bbaec9e53f7e5e809b1a3606ea5e91e8e77593e4
E_if,/root/autodl-tmp/cycle09_block3/qwen_domain_probes/corpora/E_if.jsonl,True,541,32,first_32_from_formal_probe_order,fa3a0e41b105c0a60aa0d40bf1338405fed192af0812f841fa8035ac6365754d,cd6eead39b05ca8d4fea74da371f234c359a53db0d62746ae0afcefff748561f,f38a024faf0d7c7bea4ca66603a4b494d203ddeaace9889752cd941bdecab1d0
E_math,/root/autodl-tmp/cycle09_block3/qwen_domain_probes/corpora/E_math.jsonl,True,32,32,first_32_from_formal_probe_order,832893ee7964ce285d654b0edd9b97ae1095f5cb38eb247294e510836bacf073,34485adc4125f2e238517fdb8e9a9892275b8af547ce9576b5f10d9150bb6eea,785b3453fa4f2fa1aa6b8cce3db1daaffa2293368ede496a6086b0c41080768f
E_ood,/root/autodl-tmp/cycle09_block3/qwen_domain_probes/corpora/E_ood.jsonl,True,128,32,first_32_from_formal_probe_order,f4f2b4e8991aa3272bc6888f4c34ebf1f672347bd0eca9aefd92b448c4f21423,ca54ea799d6eff6182614f4697332587abb26f9cc9ac35699618142f64a6357f,97146dd0267d7d5a48b69aad70e9669004bd5b0c1dc33163990cc9369eb8afbd
