model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,selection_metric,inner_grid,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
qwen,cumulative_kl_base_to_current,regression,Pk5,40,10.0,inner_mae,"[{""inner_loss"": 0.03200599253799279, ""regularization"": 0.0}, {""inner_loss"": 0.03200138467295909, ""regularization"": 0.0001}, {""inner_loss"": 0.03196061196324863, ""regularization"": 0.001}, {""inner_loss"": 0.03160506618484506, ""regularization"": 0.01}, {""inner_loss"": 0.03336264848135257, ""regularization"": 0.1}, {""inner_loss"": 0.028548420293587024, ""regularization"": 1.0}, {""inner_loss"": 0.02813323271663205, ""regularization"": 10.0}, {""inner_loss"": 0.03461960026500103, ""regularization"": 100.0}]",16,-0.13540986513499598,0.033934958926578676,0.09701425001453319,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5,160,1.0,inner_mae,"[{""inner_loss"": 0.026486867981236967, ""regularization"": 0.0}, {""inner_loss"": 0.02637039814438126, ""regularization"": 0.0001}, {""inner_loss"": 0.025415785629215, ""regularization"": 0.001}, {""inner_loss"": 0.02037045742555806, ""regularization"": 0.01}, {""inner_loss"": 0.019973934064342135, ""regularization"": 0.1}, {""inner_loss"": 0.019476931296336198, ""regularization"": 1.0}, {""inner_loss"": 0.02127270043438988, ""regularization"": 10.0}, {""inner_loss"": 0.021967312300483682, ""regularization"": 100.0}]",16,-0.2577341603267538,0.04060997141050663,-0.49719803132448265,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,5,0.1,inner_mae,"[{""inner_loss"": 0.03920642943058741, ""regularization"": 0.0}, {""inner_loss"": 0.03204299159839257, ""regularization"": 0.0001}, {""inner_loss"": 0.03039769135653049, ""regularization"": 0.001}, {""inner_loss"": 0.02931193061766868, ""regularization"": 0.01}, {""inner_loss"": 0.028684653617478646, ""regularization"": 0.1}, {""inner_loss"": 0.029154471697820566, ""regularization"": 1.0}, {""inner_loss"": 0.029347747403196067, ""regularization"": 10.0}, {""inner_loss"": 0.032203931288692485, ""regularization"": 100.0}]",16,-246.33520855494825,0.021833952352783778,0.29705882352941176,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,20,0.0,inner_mae,"[{""inner_loss"": 0.031514223480799027, ""regularization"": 0.0}, {""inner_loss"": 0.03237655946406953, ""regularization"": 0.0001}, {""inner_loss"": 0.03218558387921729, ""regularization"": 0.001}, {""inner_loss"": 0.0324940647046939, ""regularization"": 0.01}, {""inner_loss"": 0.033123734691166036, ""regularization"": 0.1}, {""inner_loss"": 0.033152637396152096, ""regularization"": 1.0}, {""inner_loss"": 0.031799227506345035, ""regularization"": 10.0}, {""inner_loss"": 0.034381929567901114, ""regularization"": 100.0}]",16,-0.06187137967951162,0.015811167548770166,0.4323529411764706,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,40,10.0,inner_mae,"[{""inner_loss"": 0.0273016921369706, ""regularization"": 0.0}, {""inner_loss"": 0.0289014009053014, ""regularization"": 0.0001}, {""inner_loss"": 0.029009347449081447, ""regularization"": 0.001}, {""inner_loss"": 0.028634459357344558, ""regularization"": 0.01}, {""inner_loss"": 0.02751009033489746, ""regularization"": 0.1}, {""inner_loss"": 0.027489601186060475, ""regularization"": 1.0}, {""inner_loss"": 0.0272706519046923, ""regularization"": 10.0}, {""inner_loss"": 0.03328020557986516, ""regularization"": 100.0}]",16,0.5118783441580868,0.01605400043954321,0.7441176470588236,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,160,1.0,inner_mae,"[{""inner_loss"": 0.017823297784542006, ""regularization"": 0.0}, {""inner_loss"": 0.017431832416102935, ""regularization"": 0.0001}, {""inner_loss"": 0.017365965499850044, ""regularization"": 0.001}, {""inner_loss"": 0.01682057830163458, ""regularization"": 0.01}, {""inner_loss"": 0.016430622381889533, ""regularization"": 0.1}, {""inner_loss"": 0.01624479382470891, ""regularization"": 1.0}, {""inner_loss"": 0.01751069477511331, ""regularization"": 10.0}, {""inner_loss"": 0.01986969895663848, ""regularization"": 100.0}]",16,-0.7777763405599618,0.05409386962141542,0.03529411764705882,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,5,10.0,inner_mae,"[{""inner_loss"": 0.03592298313834699, ""regularization"": 0.0}, {""inner_loss"": 0.03927039867540886, ""regularization"": 0.0001}, {""inner_loss"": 0.040331800087946214, ""regularization"": 0.001}, {""inner_loss"": 0.04110721036207905, ""regularization"": 0.01}, {""inner_loss"": 0.038694337929851365, ""regularization"": 0.1}, {""inner_loss"": 0.035043162030270504, ""regularization"": 1.0}, {""inner_loss"": 0.03144295314017283, ""regularization"": 10.0}, {""inner_loss"": 0.034600639095577916, ""regularization"": 100.0}]",16,-119.31238275069613,0.01517738109286386,0.7147058823529412,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,20,0.0,inner_mae,"[{""inner_loss"": 0.02465849496054777, ""regularization"": 0.0}, {""inner_loss"": 0.027479602915086648, ""regularization"": 0.0001}, {""inner_loss"": 0.02763057971111872, ""regularization"": 0.001}, {""inner_loss"": 0.02785097814485171, ""regularization"": 0.01}, {""inner_loss"": 0.04367060963481031, ""regularization"": 0.1}, {""inner_loss"": 0.038862765598672806, ""regularization"": 1.0}, {""inner_loss"": 0.03318461652015065, ""regularization"": 10.0}, {""inner_loss"": 0.036652423134831504, ""regularization"": 100.0}]",16,-1.8489572760780888,0.03557173460213706,-0.2529411764705882,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,40,10.0,inner_mae,"[{""inner_loss"": 0.03761349480427909, ""regularization"": 0.0}, {""inner_loss"": 0.03479026925058697, ""regularization"": 0.0001}, {""inner_loss"": 0.03456921876043194, ""regularization"": 0.001}, {""inner_loss"": 0.03367906625144209, ""regularization"": 0.01}, {""inner_loss"": 0.03500945007143167, ""regularization"": 0.1}, {""inner_loss"": 0.029544822367785106, ""regularization"": 1.0}, {""inner_loss"": 0.029455535262357575, ""regularization"": 10.0}, {""inner_loss"": 0.03481724730597148, ""regularization"": 100.0}]",16,-0.08466746715416362,0.03452776039625607,0.3147058823529411,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,160,1.0,inner_mae,"[{""inner_loss"": 0.03027503579688329, ""regularization"": 0.0}, {""inner_loss"": 0.028068166747851092, ""regularization"": 0.0001}, {""inner_loss"": 0.026831084589024067, ""regularization"": 0.001}, {""inner_loss"": 0.02128763884181703, ""regularization"": 0.01}, {""inner_loss"": 0.021586721917399868, ""regularization"": 0.1}, {""inner_loss"": 0.02069155528702378, ""regularization"": 1.0}, {""inner_loss"": 0.021113143708590815, ""regularization"": 10.0}, {""inner_loss"": 0.0215976350533827, ""regularization"": 100.0}]",16,-0.2537290483524195,0.04302896281654154,-0.3,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,5,10.0,inner_mae,"[{""inner_loss"": 0.043500978796388534, ""regularization"": 0.0}, {""inner_loss"": 0.043491668025287956, ""regularization"": 0.0001}, {""inner_loss"": 0.04340826760822258, ""regularization"": 0.001}, {""inner_loss"": 0.04261156048922562, ""regularization"": 0.01}, {""inner_loss"": 0.03709876910237059, ""regularization"": 0.1}, {""inner_loss"": 0.031587103105421926, ""regularization"": 1.0}, {""inner_loss"": 0.029350782822575156, ""regularization"": 10.0}, {""inner_loss"": 0.03181904791864721, ""regularization"": 100.0}]",16,-53.11961891661811,0.010789344092267259,0.4650479551871556,0.0035608293040240374,0.0016072364842735997,,,,,
