model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,inner_grid,test_n,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
llama,cumulative_kl_base_to_current,regression,Pk5,40,10.0,"[{""inner_mean_mae"": 0.07649035857493441, ""regularization"": 0.0}, {""inner_mean_mae"": 0.07648741563573042, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.07646096315208423, ""regularization"": 0.001}, {""inner_mean_mae"": 0.07619971383994938, ""regularization"": 0.01}, {""inner_mean_mae"": 0.07386981381520585, ""regularization"": 0.1}, {""inner_mean_mae"": 0.06061455123044358, ""regularization"": 1.0}, {""inner_mean_mae"": 0.043560011276846146, ""regularization"": 10.0}, {""inner_mean_mae"": 0.0450945190270598, ""regularization"": 100.0}]",16,0.6453308366159549,0.022532003679045766,0.6912265313535491,,,
llama,cumulative_kl_base_to_current,regression,Pk5,160,100.0,"[{""inner_mean_mae"": 0.06268924157730112, ""regularization"": 0.0}, {""inner_mean_mae"": 0.06265814144867803, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.062381602841028526, ""regularization"": 0.001}, {""inner_mean_mae"": 0.059910742349867575, ""regularization"": 0.01}, {""inner_mean_mae"": 0.048089967657839704, ""regularization"": 0.1}, {""inner_mean_mae"": 0.031780491330446005, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02778471436632472, ""regularization"": 10.0}, {""inner_mean_mae"": 0.02711919495676043, ""regularization"": 100.0}]",16,-0.177453301891072,0.055813137244687235,0.19402850002906638,,,
llama,cumulative_kl_base_to_current,regression,A+C5,5,1.0,"[{""inner_mean_mae"": 0.032989021040209864, ""regularization"": 0.0}, {""inner_mean_mae"": 0.029208633028167248, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.028828577062732882, ""regularization"": 0.001}, {""inner_mean_mae"": 0.028119493524934425, ""regularization"": 0.01}, {""inner_mean_mae"": 0.027894460859928544, ""regularization"": 0.1}, {""inner_mean_mae"": 0.027889096993241363, ""regularization"": 1.0}, {""inner_mean_mae"": 0.029225209584460732, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04248493982352325, ""regularization"": 100.0}]",16,-162.2262559313821,0.011100678885307354,0.4294117647058823,,,
llama,cumulative_kl_base_to_current,regression,A+C5,20,1.0,"[{""inner_mean_mae"": 0.030946322813192845, ""regularization"": 0.0}, {""inner_mean_mae"": 0.031796485000812315, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.031300225964738825, ""regularization"": 0.001}, {""inner_mean_mae"": 0.029255141831824736, ""regularization"": 0.01}, {""inner_mean_mae"": 0.026392351822933407, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02357999280664508, ""regularization"": 1.0}, {""inner_mean_mae"": 0.027540166452143782, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04664656285793937, ""regularization"": 100.0}]",16,0.33309386161481835,0.021303682187108777,0.7999999999999999,,,
llama,cumulative_kl_base_to_current,regression,A+C5,40,10.0,"[{""inner_mean_mae"": 0.035605228674545845, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03429396934475171, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.034473787192372846, ""regularization"": 0.001}, {""inner_mean_mae"": 0.032573364537420234, ""regularization"": 0.01}, {""inner_mean_mae"": 0.030624498432080465, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02808422805239186, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02757417583023766, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04536801502481608, ""regularization"": 100.0}]",16,0.8232953183509323,0.016117578295256847,0.8441176470588234,,,
llama,cumulative_kl_base_to_current,regression,A+C5,160,1.0,"[{""inner_mean_mae"": 0.01900219107100674, ""regularization"": 0.0}, {""inner_mean_mae"": 0.01683355533815527, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.01670215468010753, ""regularization"": 0.001}, {""inner_mean_mae"": 0.016819121521212153, ""regularization"": 0.01}, {""inner_mean_mae"": 0.016763084175626903, ""regularization"": 0.1}, {""inner_mean_mae"": 0.016350071320084928, ""regularization"": 1.0}, {""inner_mean_mae"": 0.01695492327354518, ""regularization"": 10.0}, {""inner_mean_mae"": 0.027972584523934127, ""regularization"": 100.0}]",16,0.5546671261631275,0.04557912750314291,0.5882352941176471,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A,5,0.1,"[{""inner_mean_mae"": 0.05391790203334671, ""regularization"": 0.0}, {""inner_mean_mae"": 0.049813215995676334, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.04694818336195194, ""regularization"": 0.001}, {""inner_mean_mae"": 0.0402311533564926, ""regularization"": 0.01}, {""inner_mean_mae"": 0.03459678648258884, ""regularization"": 0.1}, {""inner_mean_mae"": 0.03755277686417893, ""regularization"": 1.0}, {""inner_mean_mae"": 0.038561886858682615, ""regularization"": 10.0}, {""inner_mean_mae"": 0.0412593023942508, ""regularization"": 100.0}]",16,-6812.082658774826,0.07435331068141858,0.9147058823529413,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A,20,10.0,"[{""inner_mean_mae"": 0.05742427851378299, ""regularization"": 0.0}, {""inner_mean_mae"": 0.0393527793791766, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.039708632755290296, ""regularization"": 0.001}, {""inner_mean_mae"": 0.038464643535869696, ""regularization"": 0.01}, {""inner_mean_mae"": 0.035681279640716164, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02999787797347935, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02975941551652587, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03863896524294209, ""regularization"": 100.0}]",16,-2.145710624445413,0.04159682356875177,0.85,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A,40,100.0,"[{""inner_mean_mae"": 0.08151496639521122, ""regularization"": 0.0}, {""inner_mean_mae"": 0.07399230584092785, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.07390752313898917, ""regularization"": 0.001}, {""inner_mean_mae"": 0.07347532290883661, ""regularization"": 0.01}, {""inner_mean_mae"": 0.0701807413650926, ""regularization"": 0.1}, {""inner_mean_mae"": 0.05817805495502829, ""regularization"": 1.0}, {""inner_mean_mae"": 0.043405441853338965, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04154274999151495, ""regularization"": 100.0}]",16,0.5091421624649639,0.020036336030740825,0.9558823529411766,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A,160,100.0,"[{""inner_mean_mae"": 0.08111015401418582, ""regularization"": 0.0}, {""inner_mean_mae"": 0.07181740308113964, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.06933379427774022, ""regularization"": 0.001}, {""inner_mean_mae"": 0.061759194561305575, ""regularization"": 0.01}, {""inner_mean_mae"": 0.04842956154543084, ""regularization"": 0.1}, {""inner_mean_mae"": 0.03463592522888821, ""regularization"": 1.0}, {""inner_mean_mae"": 0.027664852480316998, ""regularization"": 10.0}, {""inner_mean_mae"": 0.02517686532343022, ""regularization"": 100.0}]",16,-0.039601247165840014,0.05286797799340596,0.3941176470588235,,,
