r2_oof,mae_oof,spearman_oof,model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,delta_r2_vs_A,mae_reduction_vs_A,delta_spearman_vs_A,delta_r2_vs_C5,mae_reduction_vs_C5,delta_spearman_vs_C5,delta_r2_vs_Pk5,mae_reduction_vs_Pk5,delta_spearman_vs_Pk5,auc_oof,log_loss_oof,balanced_accuracy_oof,delta_auc_vs_A,log_loss_reduction_vs_A,delta_balanced_accuracy_vs_A,delta_auc_vs_C5,log_loss_reduction_vs_C5,delta_balanced_accuracy_vs_C5,delta_auc_vs_Pk5,log_loss_reduction_vs_Pk5,delta_balanced_accuracy_vs_Pk5,equal7_feature_block,r2_oof_equal7,mae_oof_equal7,spearman_oof_equal7,auc_oof_equal7,log_loss_oof_equal7,balanced_accuracy_oof_equal7,delta_r2_oof_vs_equal7,delta_mae_oof_vs_equal7,delta_spearman_oof_vs_equal7,delta_auc_oof_vs_equal7,delta_log_loss_oof_vs_equal7,delta_balanced_accuracy_oof_vs_equal7
0.10434708817706384,0.04177050265410143,0.5270604395604395,llama,cumulative_kl_base_to_current,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,0.0,0.0,0.0,-0.6154999116879929,-0.018231630333314243,-0.2438644688644689,0.4532757236914591,0.009270263426920125,-0.27606017843685693,,,,,,,,,,,,,A,0.1043470881770638,0.0417705026541014,0.5270604395604395,,,,4.163336342344337e-17,2.7755575615628914e-17,0.0,,,
0.7198469998650567,0.023538872320787184,0.7709249084249084,llama,cumulative_kl_base_to_current,regression,C5,c_equal5,64,4,0.6154999116879929,0.018231630333314243,0.2438644688644689,0.0,0.0,0.0,1.068775635379452,0.027501893760234368,-0.03219570957238804,,,,,,,,,,,,,C,0.7253185649553784,0.0215114218415554,0.9346153846153844,,,,-0.005471565090321651,0.002027450479231783,-0.16369047619047605,,,
-0.34892863551439524,0.05104076608102155,0.8031206179972964,llama,cumulative_kl_base_to_current,regression,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",64,4,-0.4532757236914591,-0.009270263426920125,0.27606017843685693,-1.068775635379452,-0.027501893760234368,0.03219570957238804,0.0,0.0,0.0,,,,,,,,,,,,,Pk,0.3908294613543921,0.0293211960271498,0.8486252817540543,,,,-0.7397580968687874,0.02171957005387175,-0.04550466375675788,,,
0.7224694555463279,0.023525266717703976,0.8244047619047619,llama,cumulative_kl_base_to_current,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.6181223673692641,0.01824523593639745,0.2973443223443224,0.002622455681271174,1.360560308320824e-05,0.05347985347985351,1.0713980910607233,0.027515499363317576,0.02128414390746547,,,,,,,,,,,,,A+C,0.7302327377773876,0.0219043661564233,0.9358974358974358,,,,-0.007763282231059709,0.0016209005612806762,-0.11149267399267393,,,
-0.23974807593168856,0.04721361206857929,0.9039377289377287,llama,cumulative_kl_base_to_current,regression,Pk5+A,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,-0.3440951641087524,-0.005443109414477863,0.37687728937728926,-0.9595950757967453,-0.023674739747792106,0.13301282051282037,0.10918055958270667,0.0038271540124422618,0.10081711094043233,,,,,,,,,,,,,Pk+A,0.5585414084288888,0.0282315810067729,0.8519688644688643,,,,-0.7982894843605773,0.01898203106180639,0.051968864468864395,,,
0.43336559635572647,0.0375437761653813,0.8709706959706958,llama,cumulative_kl_base_to_current,regression,Pk5+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,c_equal5",64,4,0.3290185081786626,0.004226726488720127,0.3439102564102563,-0.28648140350933027,-0.014004903844594116,0.10004578754578741,0.7822942318701217,0.013496989915640252,0.06785007797339937,,,,,,,,,,,,,Pk+C,0.6781238402900214,0.0222219547986334,0.9178571428571428,,,,-0.2447582439342949,0.015321821366747899,-0.04688644688644705,,,
0.343106845341429,0.03961363747836576,0.9012820512820511,llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.23875975716436515,0.00215686517573567,0.3742216117216116,-0.37674015452362775,-0.016074765157578573,0.13035714285714273,0.6920354808558242,0.011427128602655795,0.09816143328475468,,,,,,,,,,,,,Pk+A+C,0.6976270450451516,0.0250141737822793,0.8775641025641024,,,,-0.3545201997037226,0.014599463696086456,0.023717948717948634,,,
0.18141032502322296,0.07869315944257654,0.4168498168498168,llama,absolute_delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,0.0,0.0,0.0,-0.5570668042782698,-0.026434664906858488,-0.24954212454212454,-0.2548371142730116,-0.01084313534703013,-0.4031515635088576,,,,,,,,,,,,,A,0.1814103250232229,0.0786931594425765,0.4168498168498168,,,,5.551115123125783e-17,4.163336342344337e-17,0.0,,,
0.7384771293014928,0.052258494535718056,0.6663919413919414,llama,absolute_delta_nll_cumulative,regression,C5,c_equal5,64,4,0.5570668042782698,0.026434664906858488,0.24954212454212454,0.0,0.0,0.0,0.30222969000525823,0.015591529559828357,-0.15360943896673307,,,,,,,,,,,,,C,0.8455020497260102,0.0400690387061635,0.8757326007326006,,,,-0.10702492042451739,0.012189455829554559,-0.20934065934065926,,,
0.43624743929623455,0.06785002409554641,0.8200013803586744,llama,absolute_delta_nll_cumulative,regression,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",64,4,0.2548371142730116,0.01084313534703013,0.4031515635088576,-0.30222969000525823,-0.015591529559828357,0.15360943896673307,0.0,0.0,0.0,,,,,,,,,,,,,Pk,0.5099704817626602,0.067090150524796,0.7042213689453104,,,,-0.07372304246642569,0.0007598735707504134,0.11578001141336403,,,
0.651459945334999,0.05834964856463228,0.7060897435897435,llama,absolute_delta_nll_cumulative,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.470049620311776,0.02034351087794426,0.2892399267399267,-0.08701718396649383,-0.006091154028914227,0.03969780219780217,0.2152125060387644,0.00950037553091413,-0.1139116367689309,,,,,,,,,,,,,A+C,0.8134734767622136,0.0421556641340115,0.8696886446886447,,,,-0.16201353142721464,0.016193984430620784,-0.16359890109890118,,,
