absolute_contraction_mean,arm,checkpoint,epsilon,layer,model,module_count_x,probe_name,c_epsilon,relative_functional_contraction_ratio_of_means_sensitivity,sample_count_x,source_name,source_protocol,state_rank_base_mean,state_rank_current_mean,state_rank_delta_mean,track,absolute_delta_nll_cumulative,aggregation,cumulative_kl_base_to_current,delta_nll_cumulative,nll_base,nll_current,sample_count_y,module_count_y,raw_update_energy_equal7,whitened_update_energy_equal7,whitened_update_energy_fixed_equal7,activation_exposure_ratio_equal7,p_k4,p_k8,p_k16,p_k32,pk_track,tpnt_overlap_lift,tpnt_lift_minus_null,tpnt_coverage,pabs_joint_mean_cos,nss_l1_top32,nss_l2_top32
0.1428571428571428,offkd,5,0.05,14,llama,7,E_general,7.927699381639449e-05,0.000184026499816,128.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,776.2857142857143,776.1428571428571,-0.1428571428571428,llama_d10_matched_numeric,0.0395591591368429,sample_equal_mean_of_token_weighted_rows,0.0017256704877581,0.002201866323503,2.6890528984367847,2.6912547377869487,128,7,0.0025738554624175,0.0003077038250661,0.0003072923516031,1.001631548583464,7.272660387310939e-06,2.2389927023271283e-05,6.004984295159991e-05,0.00018957862058802794,llama_d11_bf16_merged_minus_base,0.6032071920520131,0.013057683502366704,0.040228269241325575,0.9997922563544949,0.32335322975347586,0.05838832454885083
2.7142857142857144,offkd,5,0.05,14,llama,7,E_if,0.005518894873359,0.0039264310808019,541.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,691.2857142857143,688.5714285714286,-2.7142857142857144,llama_d10_matched_numeric,0.0564871152343018,sample_equal_mean_of_token_weighted_rows,0.0032699063380271,-0.0040985743508522,3.344583368565812,3.340484784623391,541,7,0.0025738554624175,0.0003336927867556,0.0003322242404725,1.0041819502492633,7.272660387310939e-06,2.2389927023271283e-05,6.004984295159991e-05,0.00018957862058802794,llama_d11_bf16_merged_minus_base,0.6032071920520131,0.013057683502366704,0.040228269241325575,0.9997922563544949,0.32335322975347586,0.05838832454885083
-0.2857142857142857,offkd,5,0.05,14,llama,7,E_math,-0.0005914618388821,-0.0008271298593879,32.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,345.42857142857144,345.7142857142857,0.2857142857142857,llama_d10_matched_numeric,0.0481003484455868,sample_equal_mean_of_token_weighted_rows,0.0026469066360732,-0.0050348421027592,2.0786754116415977,2.0736405961215496,32,7,0.0025738554624175,0.0004349749391881,0.0004351731395217,1.000891162126045,7.272660387310939e-06,2.2389927023271283e-05,6.004984295159991e-05,0.00018957862058802794,llama_d11_bf16_merged_minus_base,0.6032071920520131,0.013057683502366704,0.040228269241325575,0.9997922563544949,0.32335322975347586,0.05838832454885083
0.4285714285714285,offkd,5,0.05,14,llama,7,E_ood,0.001355341798413,0.0005973715651135,128.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,717.4285714285714,717.0,-0.4285714285714285,llama_d10_matched_numeric,0.0330427123772096,sample_equal_mean_of_token_weighted_rows,0.0017755741923792,-0.0037123028073438,1.637078640051186,1.6333663277328014,128,7,0.0025738554624175,0.0003547332596229,0.0003536990220059,1.0043629000663985,7.272660387310939e-06,2.2389927023271283e-05,6.004984295159991e-05,0.00018957862058802794,llama_d11_bf16_merged_minus_base,0.6032071920520131,0.013057683502366704,0.040228269241325575,0.9997922563544949,0.32335322975347586,0.05838832454885083
0.5714285714285714,offkd,20,0.05,14,llama,7,E_general,0.0017228536062524,0.000736105999264,128.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,776.2857142857143,775.7142857142857,-0.5714285714285714,llama_d10_matched_numeric,0.082068707444705,sample_equal_mean_of_token_weighted_rows,0.0076448562613222,0.0111825924950608,2.6890528984367847,2.700235463678837,128,7,0.018222322454676,0.00247975507643,0.0024585148255157,1.0101494947440823,1.1071500417918806e-05,2.682641372432824e-05,7.269333777261854e-05,0.00022874590285934995,llama_d11_bf16_merged_minus_base,0.6583494075967925,0.008726292609536116,0.042591917064503236,0.9997974090820657,0.32335321062282346,0.058388788796803925
7.0,offkd,20,0.05,14,llama,7,E_if,0.0128540596095353,0.0101260591031204,541.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,691.2857142857143,684.2857142857143,-7.0,llama_d10_matched_numeric,0.1525190623198221,sample_equal_mean_of_token_weighted_rows,0.0256889011752197,-0.0109905065274014,3.344583368565812,3.3335928520301352,541,7,0.018222322454676,0.0031864451053219,0.0030485804558598,1.0416992266284244,1.1071500417918806e-05,2.682641372432824e-05,7.269333777261854e-05,0.00022874590285934995,llama_d11_bf16_merged_minus_base,0.6583494075967925,0.008726292609536116,0.042591917064503236,0.9997974090820657,0.32335321062282346,0.058388788796803925
1.1428571428571428,offkd,20,0.05,14,llama,7,E_math,0.0068173650004162,0.0033085194375517,32.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,345.42857142857144,344.2857142857143,-1.1428571428571428,llama_d10_matched_numeric,0.1194006463047117,sample_equal_mean_of_token_weighted_rows,0.0186710162379313,-0.0345676847209688,2.0786754116415977,2.044107731431722,32,7,0.018222322454676,0.0040073929599852,0.0039762923510612,1.009209411308301,1.1071500417918806e-05,2.682641372432824e-05,7.269333777261854e-05,0.00022874590285934995,llama_d11_bf16_merged_minus_base,0.6583494075967925,0.008726292609536116,0.042591917064503236,0.9997974090820657,0.32335321062282346,0.058388788796803925
2.2857142857142856,offkd,20,0.05,14,llama,7,E_ood,0.0062498338671533,0.0031859816806054,128.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,717.4285714285714,715.1428571428571,-2.2857142857142856,llama_d10_matched_numeric,0.0722990023787133,sample_equal_mean_of_token_weighted_rows,0.010434715415613,-0.0123668675660155,1.637078640051186,1.624711766373366,128,7,0.018222322454676,0.0031778135744389,0.0031139545109389,1.0238853044206755,1.1071500417918806e-05,2.682641372432824e-05,7.269333777261854e-05,0.00022874590285934995,llama_d11_bf16_merged_minus_base,0.6583494075967925,0.008726292609536116,0.042591917064503236,0.9997974090820657,0.32335321062282346,0.058388788796803925
1.4285714285714286,offkd,40,0.05,14,llama,7,E_general,0.0051209072572701,0.0018402649981597,128.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,776.2857142857143,774.8571428571429,-1.4285714285714286,llama_d10_matched_numeric,0.1095734770642593,sample_equal_mean_of_token_weighted_rows,0.0151167464391619,0.0181476204998034,2.6890528984367847,2.707200493663549,128,7,0.0369096580626709,0.0054852101727322,0.0054170049219724,1.0158287719169066,1.120642115535832e-05,2.7311253185344868e-05,7.182348105871601e-05,0.00022459340730812135,llama_d11_bf16_merged_minus_base,0.6866971861021854,-0.00034629665182192386,0.04380431775549844,0.9997859592373167,0.3233531610942588,0.058388075084149775
7.428571428571429,offkd,40,0.05,14,llama,7,E_if,0.014788635880968,0.0107460219053523,541.0,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,691.2857142857143,683.8571428571429,-7.428571428571429,llama_d10_matched_numeric,0.1827184783222494,sample_equal_mean_of_token_weighted_rows,0.0391923265700364,-0.0077042492832162,3.344583368565812,3.3368791106007234,541,7,0.0369096580626709,0.0078828107382703,0.0073410665583131,1.0637565612335638,1.120642115535832e-05,2.7311253185344868e-05,7.182348105871601e-05,0.00022459340730812135,llama_d11_bf16_merged_minus_base,0.6866971861021854,-0.00034629665182192386,0.04380431775549844,0.9997859592373167,0.3233531610942588,0.058388075084149775
