model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_real_overlap_lift,mean_null_overlap_lift,mean_z_tpnt,median_z_tpnt
llama,seqkd,320,50,0.1,0.8732432799699392,0.8750121774944672,-0.6054597356970272,-2.014328884542631
llama,sft,20,16,0.01,0.6447398364395097,0.6327228044004206,2.213039038120962,1.838244896158298
llama,sft,20,16,0.1,0.8692620201183088,0.8629307274383066,2.3719838597950242,0.6657984321702796
llama,sft,20,32,0.01,0.5527549879767206,0.5431252659605497,2.1944932839366706,2.054650252510831
llama,sft,20,32,0.1,0.8212402209257542,0.8155807258405584,2.3080318440721683,-0.1393884809000166
llama,sft,20,50,0.01,0.4788028188203003,0.47198562177763675,1.809197072685693,1.930620752887937
llama,sft,20,50,0.1,0.7780806750911625,0.7736466261698471,2.6411806857161877,-0.5965536284183677
llama,sft,160,16,0.01,0.8075712293255063,0.8046963947510325,0.4870346217106741,1.86365930687919
llama,sft,160,16,0.1,0.9352660673588103,0.9344446128124577,1.9724897700040425,2.3137866971572265
llama,sft,160,32,0.01,0.7456362065109667,0.7445961343639131,0.29334660372234084,1.5703297676333343
llama,sft,160,32,0.1,0.909987382923907,0.9099660066882658,1.065956223560452,2.512065744996087
llama,sft,160,50,0.01,0.6946735991577251,0.6957249519293925,-0.05449824116704808,1.2347391840329782
llama,sft,160,50,0.1,0.8884624086395453,0.8886758851154566,1.1930393265622583,2.3229889795931085
llama,sft,320,16,0.01,0.8523097496895312,0.8518014709143681,0.6029892585711474,0.8468960667161541
llama,sft,320,16,0.1,0.9513273050825336,0.9514953526634969,1.8208671782103583,1.285714426114894
llama,sft,320,32,0.01,0.8011119789541302,0.8048880025026502,0.10931184123771409,-0.2460364890864174
llama,sft,320,32,0.1,0.93209653290983,0.9333552677351385,1.8615513309953908,0.6816268872651838
llama,sft,320,50,0.01,0.7596746139861822,0.7661629513249426,-0.8187015122101075,-0.9348885630544288
llama,sft,320,50,0.1,0.9157742161375284,0.9173300570499154,1.1759732686886593,0.1312691345455366
qwen,offkd,20,16,0.01,0.6088742174059865,0.5833992695289218,2.6332435557683525,3.068130820664367
qwen,offkd,20,16,0.1,0.8721284560459284,0.8631819321421085,1.893773540591434,2.060644655315073
qwen,offkd,20,32,0.01,0.5060815731997093,0.4890002951886493,2.141865218673812,2.745925998141692
qwen,offkd,20,32,0.1,0.8103647412545424,0.8029224912185854,1.8731869030881625,1.5830169141873096
qwen,offkd,20,50,0.01,0.43913349830093223,0.42588586959304575,2.0926695750309463,2.3136345083088248
qwen,offkd,20,50,0.1,0.7567156262393572,0.7511478412625935,1.314344893354834,1.6869204826744515
qwen,offkd,160,16,0.01,0.7307988831581724,0.7280462032314058,0.6819220872251942,-0.1880122123530244
qwen,offkd,160,16,0.1,0.9195480062961335,0.920094572341036,0.3177574046357728,-0.9534913026575544
qwen,offkd,160,32,0.01,0.6626781942104731,0.6611776344833243,0.3467563603152901,-0.7387999840604307
qwen,offkd,160,32,0.1,0.8842164485927871,0.8849014409008935,0.15861753466058648,-0.9274293033333908
qwen,offkd,160,50,0.01,0.6155951777711677,0.6149346528463812,0.23130000210804358,-0.5353976632921865
qwen,offkd,160,50,0.1,0.8522444336482542,0.8546489735755172,-0.6174688348524867,-1.2207060424295508
qwen,offkd,320,16,0.01,0.7789652873318363,0.7785483514027557,1.4362883291760884,-0.6310884668905071
qwen,offkd,320,16,0.1,0.9355948801169838,0.9376222251699977,0.43015344323676474,-1.9560534929562348
qwen,offkd,320,32,0.01,0.7228199368681194,0.722777729762744,1.285736721224369,-1.3879310547942507
qwen,offkd,320,32,0.1,0.9085332821260901,0.9104991182036868,-0.058311581481003856,-2.6484499635942607
qwen,offkd,320,50,0.01,0.6844445878183958,0.684820635504044,1.0062724752149637,-1.488173560018934
qwen,offkd,320,50,0.1,0.8842101101966867,0.8869428447442752,-0.3444385851890944,-2.5883072011163244
qwen,opd,20,16,0.01,0.5930300280410812,0.5912790983910755,0.3398935210510335,-0.5000950006113298
qwen,opd,20,16,0.1,0.8618525389634344,0.8644564146539234,-1.5779395250041277,-2.0605139509310466
qwen,opd,20,32,0.01,0.4936842981405368,0.497439046182866,-0.3157887290776114,-1.311075672101357
qwen,opd,20,32,0.1,0.8008785653912552,0.8047014914012853,-2.1100414243844883,-2.776644054935477
qwen,opd,20,50,0.01,0.4316530614485635,0.434852363474355,-0.44900526939623303,-1.3145692343765278
qwen,opd,20,50,0.1,0.7488411283633901,0.7531522694440742,-2.2278366035010744,-3.5359063682348846
qwen,opd,160,16,0.01,0.7169763599855178,0.7026472088492924,1.9400657834242323,1.3146577066157932
qwen,opd,160,16,0.1,0.9144701127008589,0.9110942094750935,1.1629353507557298,1.072924495868765
qwen,opd,160,32,0.01,0.6429966308985879,0.6311435353637931,1.8137101436911358,1.3271223417583695
qwen,opd,160,32,0.1,0.8744213440830348,0.8721568902796631,0.8749485981028814,0.679206102251591
qwen,opd,160,50,0.01,0.5918640235340696,0.5815157772833853,1.5890110035865395,1.1906687419140805
qwen,opd,160,50,0.1,0.8392877391928009,0.8382159646629904,0.4212115504368749,0.2088959339386255
qwen,opd,320,16,0.01,0.7751739845068946,0.758310485614019,1.825533826338469,1.709904514554779
qwen,opd,320,16,0.1,0.9361996467090881,0.9305039651112114,2.437864040345784,3.312043987804062
qwen,opd,320,32,0.01,0.7137214542896724,0.6966257586186929,2.103025535449271,1.6018302416852686
qwen,opd,320,32,0.1,0.9043026303601541,0.8998518288094081,2.039486489597884,1.6832394750697677
qwen,opd,320,50,0.01,0.6688877487229429,0.6538638808938317,1.9489621168089308,1.7410803511821444
qwen,opd,320,50,0.1,0.8760642999759091,0.8732854430391048,1.441701920285891,1.0905711961823832
qwen,seqkd,20,16,0.01,0.6084348044044281,0.5825737339691884,3.002071694307385,3.151631936402884
qwen,seqkd,20,16,0.1,0.8707239597059953,0.8627517414616209,2.2446481660716286,2.306536898766048
qwen,seqkd,20,32,0.01,0.504684431410788,0.4881050372103755,2.7890007606505516,3.354101620960932
qwen,seqkd,20,32,0.1,0.8092043358158867,0.8025857447356335,1.873423816581134,1.7264592969668793
qwen,seqkd,20,50,0.01,0.4383527113095367,0.42520546787127955,2.4402714548317403,3.0949761565009783
qwen,seqkd,20,50,0.1,0.7556820358125308,0.7507224897455302,1.7143327699320507,2.3065840320263398
qwen,seqkd,160,16,0.01,0.7300997451541565,0.7263664105891653,0.7309588727682083,-0.4273169758229391
qwen,seqkd,160,16,0.1,0.9185937806072164,0.919800715930869,0.10050894564370891,-2.384993589063265
qwen,seqkd,160,32,0.01,0.6623310082775894,0.6588274917556239,0.582503398189829,-0.5395422067245816
qwen,seqkd,160,32,0.1,0.8830918612645899,0.884392937639182,-0.07597654423797885,-2.211602328987005
qwen,seqkd,160,50,0.01,0.6152840502359807,0.6123972355753214,0.5021823726336675,-0.82661351208414
qwen,seqkd,160,50,0.1,0.8510835333977902,0.8536061423667451,-0.3260206869989534,-2.815086604089937
qwen,seqkd,320,16,0.01,0.7763653884401144,0.7761204383060628,0.47543163703121827,-1.5728127272089398
qwen,seqkd,320,16,0.1,0.934288751926912,0.9366646430085874,-0.04930288798781901,-2.055347312195299
qwen,seqkd,320,32,0.01,0.7196717505367806,0.7202257987405869,0.14533185996187756,-1.24819541345456
qwen,seqkd,320,32,0.1,0.9067442560769354,0.9092648715651794,-0.32335086782917866,-2.0128383897291275
qwen,seqkd,320,50,0.01,0.6794514099798035,0.6810571127186992,-0.10659272055354133,-1.22614818457623
qwen,seqkd,320,50,0.1,0.8818836991047656,0.8852677776802038,-0.8883121931988606,-2.1364157467627174
qwen,sft,20,16,0.01,0.4811632949996977,0.4734918170447361,2.2476252944095383,0.6212549991386345
qwen,sft,20,16,0.1,0.7991861850773967,0.8003987218971628,0.5717478315132664,-2.5456111362561518
qwen,sft,20,32,0.01,0.3766805472074021,0.3713506824329293,1.4924524654684048,0.4484533145013103
qwen,sft,20,32,0.1,0.7174357387361552,0.7171518275632486,-0.2701338278740858,-1.976667886262807
qwen,sft,20,50,0.01,0.3107528808617375,0.30808500515119375,1.438813193488073,1.0269166683093975
qwen,sft,20,50,0.1,0.649424040028695,0.6480275855063801,-0.6114992465444071,-1.352789300301348
qwen,sft,160,16,0.01,0.6951092996017117,0.6961468849040624,0.28340318758681105,-1.1837756616310895
qwen,sft,160,16,0.1,0.90544971098357,0.9078088988715916,0.27899798728710573,-1.7411970388703306
qwen,sft,160,32,0.01,0.6208920069461107,0.6233609228244957,0.17095378373999437,-1.1529786017067412
qwen,sft,160,32,0.1,0.8643866842732215,0.8681804671962032,-0.45394259191239733,-1.6718150256724786
qwen,sft,160,50,0.01,0.5710920434470513,0.5733046800471341,0.28078161471111907,-0.990938008039501
qwen,sft,160,50,0.1,0.8289884375073608,0.8334904195671741,-0.8533094626650574,-1.9601398875207536
qwen,sft,320,16,0.01,0.7440587747003432,0.7461005889817194,-0.013539658034636684,-1.30367311816122
qwen,sft,320,16,0.1,0.923499265354972,0.9263415236985304,-0.2734485875688801,-2.359146875814851
qwen,sft,320,32,0.01,0.6813341696333425,0.6836908906513274,-0.5140388668807401,-1.6482662846077911
qwen,sft,320,32,0.1,0.8909060653569182,0.8941885279407308,-0.47987674152593707,-3.350242950721648
qwen,sft,320,50,0.01,0.6382080911622481,0.6403811863319377,-0.48404208203702687,-1.5148803878248605
qwen,sft,320,50,0.1,0.862144382611871,0.8661623209032354,-1.0555603461851415,-3.172124065529354
