model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_real_overlap_lift,mean_null_overlap_lift,mean_z_tpnt,median_z_tpnt
llama,offkd,20,16,0.01,0.6086286214461856,0.5924318998208987,2.3855199007160937,2.0675636055535764
llama,offkd,20,16,0.1,0.8521397775459326,0.8437911315423463,2.1228662699664906,1.594881482308701
llama,offkd,20,32,0.01,0.5085435820073477,0.49636135650586877,2.286172929642714,1.8883194500831124
llama,offkd,20,32,0.1,0.7981223691549012,0.7908129210474547,2.3588455998343396,1.7790392297553026
llama,offkd,20,50,0.01,0.43236229780331764,0.4220387716544014,2.259748746269913,2.5191512850499564
llama,offkd,20,50,0.1,0.7502997976230701,0.7439938758294016,2.1598230487999657,1.9988005961890576
llama,offkd,160,16,0.01,0.7459680694629628,0.744455494541156,0.5379195303804426,0.0215245531939449
llama,offkd,160,16,0.1,0.9099853335339221,0.9112477602152413,0.1534612059865248,-0.5410317965468611
llama,offkd,160,32,0.01,0.6684495223222459,0.6711064021919368,-0.2337336747554458,-1.2031484066371962
llama,offkd,160,32,0.1,0.875733792782904,0.8790779907341036,-0.7113606994184224,-1.7987472937581912
llama,offkd,160,50,0.01,0.6059438001080772,0.6119108282329273,-0.938019094680142,-1.746710756020738
llama,offkd,160,50,0.1,0.8456602195138524,0.850748712705766,-1.5202912097639008,-2.49135193548038
llama,offkd,320,16,0.01,0.785135437099447,0.7868602168416213,-0.7438813615064802,-0.7365918239259333
llama,offkd,320,16,0.1,0.9261473311559463,0.9284923413760419,-0.501387729044969,-1.021755163532882
llama,offkd,320,32,0.01,0.7205039293200552,0.7229524181976111,-0.4913975757168875,-0.3609633770516888
llama,offkd,320,32,0.1,0.8985910800667174,0.9017325462939673,-0.6690309997605584,-1.242823156585382
llama,offkd,320,50,0.01,0.664838705559552,0.6706756079271876,-1.2916371602542882,-1.5343040667437438
llama,offkd,320,50,0.1,0.8737152849081505,0.8782619652888374,-1.2313719066330016,-1.4965580205041464
llama,opd,20,16,0.01,0.641318198810095,0.6241334238015368,1.978604258713247,1.841849935454973
llama,opd,20,16,0.1,0.8686043542464635,0.8602153634798249,2.23129466643384,3.105761817664458
llama,opd,20,32,0.01,0.5432527866191216,0.5328881627742655,1.4180475272601665,0.8263627783061512
llama,opd,20,32,0.1,0.8166085962496863,0.8120733149148561,1.0135011307772372,1.659874707595748
llama,opd,20,50,0.01,0.4672953734466244,0.4611534211868716,0.8271584739468169,-0.4786922204817653
llama,opd,20,50,0.1,0.7715442284091844,0.7691662557348286,0.43756348995204053,0.4782493351089407
llama,opd,160,16,0.01,0.7405387510953795,0.7408818137224429,0.314941247582914,0.7553332516815908
llama,opd,160,16,0.1,0.9103671641510703,0.9107802389906993,0.510974454154656,0.1928182850383598
llama,opd,160,32,0.01,0.6687214059735352,0.6665483127925553,0.5773491499700645,0.0275007555307905
llama,opd,160,32,0.1,0.8784457086545198,0.8781904157193579,0.7257052621640481,0.4092946948935882
llama,opd,160,50,0.01,0.60852385931625,0.6056839585050292,0.7258796066008255,-0.5675620021789223
llama,opd,160,50,0.1,0.8487964300429891,0.849130816798478,0.87147744174541,0.6656549308955239
llama,opd,320,16,0.01,0.7886817572142073,0.7905941488251981,0.666527095164137,0.8508402793712944
llama,opd,320,16,0.1,0.9295240948878034,0.9305195206911988,0.6155705729394774,0.2194382872462607
llama,opd,320,32,0.01,0.7255876159124799,0.7265442150514906,0.36730634268783646,1.445176274261745
llama,opd,320,32,0.1,0.9035498028388252,0.9045016971286763,0.3398482600130027,-0.1545787552646111
llama,opd,320,50,0.01,0.6749802426952065,0.6749411612142475,0.347385333024469,0.2919849667518974
llama,opd,320,50,0.1,0.8796905800417635,0.8815978863729944,-0.1507791959271664,-0.5150575161798056
llama,seqkd,20,16,0.01,0.6031535201855657,0.590883690467728,1.914114749511439,2.290395012478774
llama,seqkd,20,16,0.1,0.8494018433717843,0.8426324299089727,2.6521038507646453,1.4183351607175891
llama,seqkd,20,32,0.01,0.5030363157102016,0.49297851659631725,1.7259106778005417,2.275038910316963
llama,seqkd,20,32,0.1,0.7950656706954208,0.7888747743784598,2.566676111393678,3.054601260108619
llama,seqkd,20,50,0.01,0.42665618604566663,0.4182196441707448,1.618500944700194,1.955350060770068
llama,seqkd,20,50,0.1,0.7469272052807882,0.7411910821627162,2.3680404683558254,3.158593400481208
llama,seqkd,160,16,0.01,0.7439976284427325,0.736971531721723,0.9270782155332139,-0.0661823183496506
llama,seqkd,160,16,0.1,0.9098373127045206,0.9090170688527106,0.5941591174161396,-0.2359467513480095
llama,seqkd,160,32,0.01,0.6676862291839739,0.6631118208606334,0.45857042995336633,-0.658176495040533
llama,seqkd,160,32,0.1,0.8750477962069502,0.8759763874738653,-0.4509186121482193,-0.5850879422386702
llama,seqkd,160,50,0.01,0.6044950545375324,0.6030415157144875,-0.27421885456666206,-1.3541935492104475
llama,seqkd,160,50,0.1,0.8439918977435321,0.8469323991876271,-1.4673745880105635,-1.5273162623708465
llama,seqkd,320,16,0.01,0.7869951440314947,0.780714519069336,0.39170692339452506,-0.518385296134379
llama,seqkd,320,16,0.1,0.9271501285313164,0.9262863317367555,0.6154285827903695,-0.778815202894958
llama,seqkd,320,32,0.01,0.7202199849959159,0.7155113288284051,0.13635909041925107,-1.0445251337533228
llama,seqkd,320,32,0.1,0.8986804510043257,0.8989436526593527,0.08196071912071558,-1.5586724466382305
llama,seqkd,320,50,0.01,0.6635232843457184,0.6620597764740869,-0.3998392956659464,-1.6437108149397524
