model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,32,0.01,0.2437372476199899,0.2368132367147838,0.0036667582409858,3181578.5,3072,1.8883194500831124,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,32,0.1,0.582998507301206,0.5660704492110893,0.003087901710665,3181578.5,3072,5.482058587438305,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,50,0.01,0.167080906340707,0.1622151313137682,0.0023722116332308,3181578.5,3072,2.051155537211376,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.q_proj,50,0.1,0.5276080013763326,0.5136499110207187,0.0027611958059024,3181578.5,3072,5.0550889313161385,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,16,0.01,0.6870069797737595,0.6243700140220295,0.0088997377196657,1613754.5,1024,7.038068730196549,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,16,0.1,0.9090627674800558,0.8746076842746289,0.0042717831945158,1613754.5,1024,8.065737804685611,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,32,0.01,0.5602303147860862,0.5074173575808092,0.0061166287417499,1613754.5,1024,8.634324467789689,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,32,0.1,0.8679349651032178,0.8349054108271241,0.0031793141880631,1613754.5,1024,10.38889279961839,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,50,0.01,0.4685746392020732,0.4216284773539532,0.0057128651825113,1613754.5,1024,8.217621167017093,10
llama,llama3_2_3b,offkd,20,20,14,self_attn.v_proj,50,0.1,0.8195619485770581,0.7945303780616289,0.0030861428798351,1613754.5,1024,8.110956456029772,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,16,0.01,0.8427567302267905,0.8390235536269627,0.0055476468206388,14865390.0,3072,0.6729297521138813,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,16,0.1,0.9652970383938752,0.9661847500209224,0.0016407753346713,14865390.0,3072,-0.5410317965468611,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,32,0.01,0.7877733936447435,0.7846222148646277,0.0056427254053545,14865390.0,3072,0.5584497833485887,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,32,0.1,0.9488770496388677,0.948849833876148,0.0014726615098757,14865390.0,3072,0.0184806641153234,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,50,0.01,0.748973364238391,0.7469347659966367,0.0048104181586278,14865390.0,3072,0.4237881561497856,10
llama,llama3_2_3b,offkd,160,160,14,mlp.down_proj,50,0.1,0.92952796718079,0.9303560160887272,0.0011150120892838,14865390.0,3072,-0.7426367085124169,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,16,0.01,0.7972332177113077,0.7588189549430642,0.0056053341098078,18255091.1,3072,6.85316200884956,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,16,0.1,0.9423180660747048,0.9387334435869292,0.0020042484313387,18255091.1,3072,1.7885120585481065,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,32,0.01,0.7443016000754267,0.7089417447308468,0.0053829581415818,18255091.1,3072,6.56885199820423,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,32,0.1,0.924354419555614,0.921235912918035,0.0022378102860337,18255091.1,3072,1.3935527319012857,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,50,0.01,0.6977935068369355,0.6660580116914299,0.0057604706313666,18255091.1,3072,5.5091844358516,10
llama,llama3_2_3b,offkd,160,160,14,mlp.gate_proj,50,0.1,0.9087741929433863,0.9065904947251198,0.0020963334544634,18255091.1,3072,1.0416750320027126,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,16,0.01,0.9522296598789702,0.9495174242744706,0.0030636531056945,17839891.1,3072,0.8852946175460469,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,16,0.1,0.9983267404195636,0.994158435378938,0.0008710952233177,17839891.1,3072,4.785131325539493,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,32,0.01,0.9156172205711348,0.9142005380448992,0.0022240946307746,17839891.1,3072,0.6369704358048391,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,32,0.1,0.979571386787374,0.9775005675659432,0.0007086233675726,17839891.1,3072,2.9223129185316217,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,50,0.01,0.8840860615637675,0.8844430997181615,0.0020965220362666,17839891.1,3072,-0.1703002154128635,10
llama,llama3_2_3b,offkd,160,160,14,mlp.up_proj,50,0.1,0.962976142673357,0.9622292750025,0.0006565416995063,17839891.1,3072,1.1375784225413708,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,16,0.01,0.5213441378340625,0.5211470023376377,0.0091586336147649,1800614.9,1024,0.0215245531939449,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,16,0.1,0.8152509326179163,0.8171427123996626,0.0041238113940218,1800614.9,1024,-0.4587454665091665,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,32,0.01,0.3843664152084535,0.3959366831891345,0.0091469924689837,1800614.9,1024,-1.264925932749406,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,32,0.1,0.7285635371187504,0.7354688029348815,0.0038389304823934,1800614.9,1024,-1.7987472937581912,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,50,0.01,0.2770208397898764,0.2926829859313912,0.0089666512257561,1800614.9,1024,-1.746710756020738,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.k_proj,50,0.1,0.6585199399041471,0.6694334687913852,0.0042566590617992,1800614.9,1024,-2.563871977715993,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,16,0.01,0.8324149834240058,0.8353255678662455,0.0037026433381502,6947373.8,3072,-0.7860828539034359,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,16,0.1,0.9470647278552532,0.948928900350542,0.0012640052866295,6947373.8,3072,-1.4748138437456295,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,32,0.01,0.7585009399774177,0.7632030719756335,0.00390818952365,6947373.8,3072,-1.2031484066371962,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,32,0.1,0.921269944411939,0.9243990625616368,0.0014447001635442,6947373.8,3072,-2.1659291170986905,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,50,0.01,0.6934646787444849,0.703065145099173,0.0049014628324559,6947373.8,3072,-1.9586941047714863,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.o_proj,50,0.1,0.8977379881036465,0.9019076276579968,0.0014925075785255,6947373.8,3072,-2.7937141588719525,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,16,0.01,0.502869563370542,0.5170937882347869,0.0072406234848978,5927557.4,3072,-1.9645027660826668,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,16,0.1,0.7759189006359816,0.7789158972410897,0.0032472952297604,5927557.4,3072,-0.922920890481897,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,32,0.01,0.3891183034089308,0.4132372797852165,0.0046663763619621,5927557.4,3072,-5.168673614261174,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,32,0.1,0.722546235916726,0.7313515728115446,0.0027876524236232,5927557.4,3072,-3.1586925328997486,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,50,0.01,0.2977015303752904,0.3259265553358907,0.0041958760379788,5927557.4,3072,-6.726849102576454,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.q_proj,50,0.1,0.6808717130269113,0.69197504895178,0.0026250776473442,5927557.4,3072,-4.229717142310646,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,16,0.01,0.772928193795061,0.7902621705049249,0.0090427668662729,2352791.9,1024,-1.916888599054232,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,16,0.1,0.9257209287401602,0.9346701825286056,0.0042576912555198,2352791.9,1024,-2.1019029448983715,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,32,0.01,0.6994687833696143,0.7176032827532003,0.0102823103757394,2352791.9,1024,-1.7636599869980023,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,32,0.1,0.9049539760510568,0.9147401824705366,0.0044675627905789,2352791.9,1024,-2.1905022667205567,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,50,0.01,0.6425666192077948,0.6642652338578082,0.0114410856020347,2352791.9,1024,-1.8965520759808383,10
llama,llama3_2_3b,offkd,160,160,14,self_attn.v_proj,50,0.1,0.8812135927647291,0.8927490577228534,0.0046302029006191,2352791.9,1024,-2.49135193548038,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,16,0.01,0.86884421305213,0.8679726809766997,0.0055926169368168,16614699.1,3072,0.1558361828239893,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,16,0.1,0.9715440614120012,0.9726359749550172,0.0016139825610091,16614699.1,3072,-0.6765336685751553,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,32,0.01,0.823840460326579,0.8234267416873339,0.0042460939166718,16614699.1,3072,0.0974351126857296,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,32,0.1,0.9573849077531796,0.958402186109819,0.0014233311233903,16614699.1,3072,-0.7147165827557301,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,50,0.01,0.7917893654855854,0.7919286418747792,0.0045601526147867,16614699.1,3072,-0.0305420456197316,10
llama,llama3_2_3b,offkd,320,320,14,mlp.down_proj,50,0.1,0.9415681090246206,0.9431845361351018,0.001555742298142,16614699.1,3072,-1.039006982333515,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,16,0.01,0.8572544956986468,0.8139555281113676,0.0135857078980139,19900204.6,3072,3.1870969045057254,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,16,0.1,0.9591914525543324,0.9546413517280958,0.0028510999158799,19900204.6,3072,1.595910687273219,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,32,0.01,0.8142214909738049,0.7753649420316633,0.0143140428917105,19900204.6,3072,2.7145754163307623,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,32,0.1,0.946584168597762,0.941646310670437,0.002894344876288,19900204.6,3072,1.7060364740146734,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,50,0.01,0.7761880874564117,0.740081106385211,0.0155954059843638,19900204.6,3072,2.315231877092659,10
llama,llama3_2_3b,offkd,320,320,14,mlp.gate_proj,50,0.1,0.9346438349604804,0.9303905919410628,0.0027994991537237,19900204.6,3072,1.519287124541619,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,16,0.01,0.9659863461925152,0.9589918471691498,0.0022327008327291,19255610.9,3072,3.1327524587410887,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,16,0.1,1.0016357127854982,0.9952738365496416,0.0008009252160271,19255610.9,3072,7.943158872451893,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,32,0.01,0.9370562023358492,0.9314590342143868,0.0019190410856917,19255610.9,3072,2.916648404869757,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,32,0.1,0.986831590708543,0.982241666890904,0.0006257427719086,19255610.9,3072,7.335160746065513,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,50,0.01,0.9118777157671608,0.9085077546278496,0.0020904720623771,19255610.9,3072,1.612057486900479,10
llama,llama3_2_3b,offkd,320,320,14,mlp.up_proj,50,0.1,0.973572082789548,0.970166686341092,0.0005609792078916,19255610.9,3072,6.070450384880801,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,16,0.01,0.5792796224316438,0.5864594314535946,0.0097473373837947,2022477.5,1024,-0.7365918239259333,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,16,0.1,0.8463396058337704,0.8494484110175989,0.0030426126481018,2022477.5,1024,-1.021755163532882,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,32,0.01,0.4656904442939605,0.4695076103482599,0.0105749399993914,2022477.5,1024,-0.3609633770516888,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,32,0.1,0.7741116815630009,0.7793391690116607,0.002951188844707,2022477.5,1024,-1.7713158065215553,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,50,0.01,0.3582970395092419,0.3707658215157324,0.0064017400914473,2022477.5,1024,-1.9477176249546184,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.k_proj,50,0.1,0.7139125098662321,0.7221243451016337,0.0027040013593867,2022477.5,1024,-3.0369197881113554,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,16,0.01,0.8612856918122153,0.8654013250825052,0.0048184671325358,7389400.8,3072,-0.8541374584667979,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,16,0.1,0.9570238085274978,0.9586851948452724,0.0014581227810943,7389400.8,3072,-1.1394008373750804,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,32,0.01,0.8021864940670332,0.8047767500533622,0.00408732386446,7389400.8,3072,-0.6337290785424963,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,32,0.1,0.9362040814534582,0.9384431510568174,0.0018015995208127,7389400.8,3072,-1.242823156585382,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,50,0.01,0.7470616054656057,0.7545453788209933,0.0048776337869392,7389400.8,3072,-1.5343040667437438,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.o_proj,50,0.1,0.9172073860549356,0.9202056478339286,0.002003438381883,7389400.8,3072,-1.4965580205041464,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,16,0.01,0.5576310648312142,0.5853475436978803,0.0037886523013179,6626549.0,3072,-7.315656508522614,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,16,0.1,0.8083718988305251,0.8196061297740519,0.001800859034269,6626549.0,3072,-6.238262256927082,10
