model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,7,seqkd,320,50,0.01,0.6723813361766228,0.9997572242885836,6.060941707646033e-05,0.6635232843457184,0.9997690319328513,8.076190328442827e-05,0.008858051830904379,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,50,0.01,0.7624441703208422,0.9997226593704382,0.00010040012184053674,0.7596746139861822,0.9997150704209223,0.000130459421300499,0.0027695563346600283,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,7,offkd,320,50,0.1,0.8663802687668116,0.9997541784146681,6.239380703163138e-05,0.8737152849081505,0.9997810136773003,7.430013142775096e-05,-0.0073350161413389126,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,50,0.1,0.8726849024438528,0.9997410390893462,6.607793050798732e-05,0.8796905800417635,0.9997637035480401,8.593153689592885e-05,-0.007005677597910709,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
llama,7,seqkd,320,50,0.1,0.8643160871535432,0.9997572242885836,6.060941707646033e-05,0.8732432799699392,0.9997690319328513,8.076190328442827e-05,-0.008927192816395979,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,50,0.1,0.9048653559707466,0.9997226593704382,0.00010040012184053674,0.9157742161375284,0.9997150704209223,0.000130459421300499,-0.01090886016678183,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,14,offkd,20,16,0.01,0.6086286214461856,0.9997834400799507,5.310718836602987e-05,0.6086286214461856,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,16,0.01,0.641318198810095,0.9997853952993921,5.2190276432220444e-05,0.641318198810095,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,16,0.01,0.6031535201855657,0.999784115311627,5.170724003709431e-05,0.6031535201855657,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,16,0.01,0.6447398364395097,0.9997844294957355,4.7287975121688775e-05,0.6447398364395097,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
llama,14,offkd,20,16,0.1,0.8521397775459326,0.9997834400799507,5.310718836602987e-05,0.8521397775459326,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,16,0.1,0.8686043542464635,0.9997853952993921,5.2190276432220444e-05,0.8686043542464635,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,16,0.1,0.8494018433717843,0.999784115311627,5.170724003709431e-05,0.8494018433717843,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,16,0.1,0.8692620201183088,0.9997844294957355,4.7287975121688775e-05,0.8692620201183088,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
llama,14,offkd,20,32,0.01,0.5085435820073477,0.9997834400799507,5.310718836602987e-05,0.5085435820073477,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,32,0.01,0.5432527866191216,0.9997853952993921,5.2190276432220444e-05,0.5432527866191216,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,32,0.01,0.5030363157102016,0.999784115311627,5.170724003709431e-05,0.5030363157102016,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,32,0.01,0.5527549879767207,0.9997844294957355,4.7287975121688775e-05,0.5527549879767207,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
llama,14,offkd,20,32,0.1,0.7981223691549012,0.9997834400799507,5.310718836602987e-05,0.7981223691549012,0.9997834400799507,5.310718836602987e-05,0.0,0.0,0.0,3.0
llama,14,opd,20,32,0.1,0.8166085962496863,0.9997853952993921,5.2190276432220444e-05,0.8166085962496863,0.9997853952993921,5.2190276432220444e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,20,32,0.1,0.7950656706954208,0.999784115311627,5.170724003709431e-05,0.7950656706954208,0.999784115311627,5.170724003709431e-05,0.0,0.0,0.0,4.0
llama,14,sft,20,32,0.1,0.8212402209257542,0.9997844294957355,4.7287975121688775e-05,0.8212402209257542,0.9997844294957355,4.7287975121688775e-05,0.0,0.0,0.0,1.0
