family,model,arm,step,checkpoint,layer,module,rank_fraction,k,rank_spec_kind,p_k,delta_construction,native_source,checkpoint_materialization,source_svd_dtype,projection_dtype,base_tensor_sha256,checkpoint_tensor_sha256,checkpoint_root
llama3_2_3b,llama,opd,40,40,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0004023853107355535,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_040
llama3_2_3b,llama,opd,80,80,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,6.92982503096573e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_080
llama3_2_3b,llama,opd,80,80,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.00011108002217952162,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_080
llama3_2_3b,llama,opd,80,80,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.00021497401758097112,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_080
llama3_2_3b,llama,opd,80,80,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.00043258993537165225,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_080
llama3_2_3b,llama,opd,160,160,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,5.16318432346452e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_160
llama3_2_3b,llama,opd,160,160,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.00011783456284319982,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_160
llama3_2_3b,llama,opd,160,160,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.0002126538020092994,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_160
llama3_2_3b,llama,opd,160,160,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0004451011773198843,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_160
llama3_2_3b,llama,opd,320,320,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,2.7871607017004862e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_320
llama3_2_3b,llama,opd,320,320,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,9.816042438615113e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_320
llama3_2_3b,llama,opd,320,320,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.00018354668281972408,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_320
llama3_2_3b,llama,opd,320,320,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0003875701513607055,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_320
llama3_2_3b,llama,sft,5,5,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,4.8171223170356825e-06,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_005
llama3_2_3b,llama,sft,5,5,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,1.1151586477353703e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_005
llama3_2_3b,llama,sft,5,5,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,3.639826172729954e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_005
llama3_2_3b,llama,sft,5,5,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.00011000227823387831,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9090226ef7ea860cbda17df9fa6d2fbdb16091b2a36c7b2b5510ce9e849c5980,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_005
llama3_2_3b,llama,sft,20,20,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,2.63573820120655e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_020
llama3_2_3b,llama,sft,20,20,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,3.5561504773795605e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_020
llama3_2_3b,llama,sft,20,20,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,7.084294338710606e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_020
llama3_2_3b,llama,sft,20,20,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.00018871163774747401,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_020
llama3_2_3b,llama,sft,40,40,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,3.480585291981697e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,aa0c77fb51c05525b3738f780cfb108964ef2a93e92b5f1e512e072ec5f2902d,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_040
llama3_2_3b,llama,sft,40,40,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,5.235963544691913e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,aa0c77fb51c05525b3738f780cfb108964ef2a93e92b5f1e512e072ec5f2902d,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_040
