model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,50,0.01,94372,5788353,9437184,0.6133559544881185,18052,0.0031186764179724,0.3118671130511887,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.3468934192783147,0.0017734300308206,-0.0350263062271259,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,50,0.1,943718,5788353,9437184,0.6133559544881185,390204,0.0674119218368333,0.6741195040974259,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7093556678825532,0.0015150887860274,-0.0352361637851272,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,16,0.01,94372,6587756,9437184,0.6980637444390191,35245,0.0053500767180812,0.5350067647464162,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6285901614388147,0.0049081317025719,-0.0935833966923985,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,16,0.1,943718,6587756,9437184,0.6980637444390191,526639,0.0799420925729489,0.799421264568391,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8398927194199123,0.0012107130475866,-0.0404714548515212,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,32,0.01,94372,6587756,9437184,0.6980637444390191,30003,0.0045543581152671,0.455435039372584,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5307994938390841,0.0030472891194839,-0.0753644544665,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,32,0.1,943718,6587756,9437184,0.6980637444390191,503047,0.0763609034700131,0.7636093583599683,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8038135917002829,0.0009484902641442,-0.0402042333403145,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,50,0.01,94372,6587756,9437184,0.6980637444390191,25657,0.0038946494071729,0.3894642804113718,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.4496888480659747,0.0027074257138538,-0.0602245676546028,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,opd,320,320,14,self_attn.q_proj,50,0.1,943718,6587756,9437184,0.6980637444390191,483348,0.0733706591440241,0.7337069024257654,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7740876528756329,0.0010450246706393,-0.0403807504498674,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,8dfc00b00936602664a1f6053caed904e0e333a3c307de9f4fc0d071a5b3a214
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,16,0.01,94372,3934517,9437184,0.4169164233737522,15516,0.0039435590188071,0.394355233282567,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.3543818947557908,0.0035537119219597,0.0399733385267762,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,16,0.1,943718,3934517,9437184,0.4169164233737522,273446,0.0694992549276061,0.6949928438524279,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6675170556803631,0.0009957930676192,0.0274757881720647,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
