model,checkpoint,probe_name,epsilon,metric,opd_deepest,deepest_arm,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
llama,80,E_general,0.01,stable_rank_contraction,True,opd,0.4660705187134438,0.28196498083700794,0.18410553787643585,"{""offkd"": 0.0931373186529852, ""opd"": 0.4660705187134438, ""seqkd"": 0.021685277397448015, ""sft"": 0.28196498083700794}"
llama,80,E_general,0.01,entropy_effective_rank_contraction,True,opd,12.145447578346605,6.28488449880233,5.860563079544275,"{""offkd"": 0.7869667154330345, ""opd"": 12.145447578346605, ""seqkd"": -1.264027255066908, ""sft"": 6.28488449880233}"
llama,80,E_if,0.01,absolute_contraction,True,opd,26.571428571428573,13.857142857142858,12.714285714285715,"{""offkd"": 10.0, ""opd"": 26.571428571428573, ""seqkd"": 6.571428571428571, ""sft"": 13.857142857142858}"
llama,80,E_if,0.01,stable_rank_contraction,True,opd,0.2819088202206986,0.18546147550820785,0.09644734471249072,"{""offkd"": 0.06383933171962582, ""opd"": 0.2819088202206986, ""seqkd"": 0.020622716772767977, ""sft"": 0.18546147550820785}"
llama,80,E_if,0.01,entropy_effective_rank_contraction,True,opd,15.339520339339895,9.864658351062634,5.474861988277262,"{""offkd"": 5.025072744124544, ""opd"": 15.339520339339895, ""seqkd"": 3.503050010682347, ""sft"": 9.864658351062634}"
llama,80,E_math,0.01,absolute_contraction,True,opd,19.285714285714285,10.857142857142858,8.428571428571427,"{""offkd"": 4.857142857142857, ""opd"": 19.285714285714285, ""seqkd"": 2.0, ""sft"": 10.857142857142858}"
llama,80,E_math,0.01,stable_rank_contraction,True,opd,0.3213009828002367,0.25839104331336105,0.06290993948687568,"{""offkd"": 0.10822261462918334, ""opd"": 0.3213009828002367, ""seqkd"": 0.0882039210954196, ""sft"": 0.25839104331336105}"
llama,80,E_math,0.01,entropy_effective_rank_contraction,True,opd,8.411373096471188,6.054543202883884,2.356829893587304,"{""offkd"": 1.9332003114631051, ""opd"": 8.411373096471188, ""seqkd"": 1.102743194868952, ""sft"": 6.054543202883884}"
llama,80,E_ood,0.01,absolute_contraction,True,opd,26.714285714285715,10.0,16.714285714285715,"{""offkd"": 8.285714285714286, ""opd"": 26.714285714285715, ""seqkd"": 4.857142857142857, ""sft"": 10.0}"
llama,80,E_ood,0.01,stable_rank_contraction,True,opd,0.3886431110044346,0.2063783002852073,0.18226481071922732,"{""offkd"": 0.1463777152961612, ""opd"": 0.3886431110044346, ""seqkd"": 0.12730283153561378, ""sft"": 0.2063783002852073}"
llama,80,E_ood,0.01,entropy_effective_rank_contraction,True,opd,15.164237103696623,7.319774388871598,7.844462714825025,"{""offkd"": 4.975462889470604, ""opd"": 15.164237103696623, ""seqkd"": 3.697940556049871, ""sft"": 7.319774388871598}"
llama,20,E_general,0.025,absolute_contraction,True,opd,10.0,3.142857142857143,6.857142857142858,"{""offkd"": 1.0, ""opd"": 10.0, ""seqkd"": 0.0, ""sft"": 3.142857142857143}"
