model,arm,checkpoint,probe_name,layer,epsilon,state_rank_current,state_rank_base,absolute_contraction,relative_functional_contraction_module,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,stable_rank_base,entropy_effective_rank_base,stable_rank_contraction,entropy_effective_rank_contraction,module_count
llama,offkd,20,E_general,14,0.01,1392.5714285714287,1393.7142857142858,1.1428571428571428,0.0016419427459800045,0.009987910866518703,0.010027755336231344,1.2089133481298284e-05,2.775533623134271e-05,8.346449290545837e-06,7.923480130433518,302.39071662145255,0.35062138694749423,0.47134367906210706,0.5709920165626561,7.9667951484733175,302.6426772076835,0.043315018039799265,0.25196058623098977,7
llama,offkd,20,E_general,14,0.025,1049.7142857142858,1050.7142857142858,1.0,0.0025538083139528293,0.024956424621491415,0.025041012733542093,4.357537850858614e-05,4.101273354209363e-05,1.8522755698142934e-05,7.923480130433518,302.39071662145255,0.35062138694749423,0.47134367906210706,0.5709920165626561,7.9667951484733175,302.6426772076835,0.043315018039799265,0.25196058623098977,7
llama,offkd,20,E_general,14,0.05,775.7142857142857,776.2857142857143,0.5714285714285714,0.0017228536062524492,0.049868592494410446,0.05004962284498104,0.0001314075055895534,4.962284498103173e-05,3.980669935332165e-05,7.923480130433518,302.39071662145255,0.35062138694749423,0.47134367906210706,0.5709920165626561,7.9667951484733175,302.6426772076835,0.043315018039799265,0.25196058623098977,7
llama,offkd,20,E_general,14,0.1,516.7142857142857,517.2857142857143,0.5714285714285714,0.00454537685846242,0.09971944489356906,0.1003031652059073,0.00028055510643094916,0.0003031652059073052,0.0002115657858483,7.923480130433518,302.39071662145255,0.35062138694749423,0.47134367906210706,0.5709920165626561,7.9667951484733175,302.6426772076835,0.043315018039799265,0.25196058623098977,7
llama,offkd,20,E_if,14,0.01,1312.142857142857,1319.857142857143,7.714285714285714,0.00723391010654554,0.009985669746473635,0.010022856511883643,1.4330253526364483e-05,2.2856511883642535e-05,1.0419761109674644e-05,4.736353936005723,185.7846869334837,0.3882538490559422,0.5243761330014791,0.6252425655387821,4.77689328956354,189.90431991165755,0.040539353557817064,4.119632978173855,7
llama,offkd,20,E_if,14,0.025,959.0,966.7142857142857,7.714285714285714,0.009857039441593357,0.024955527192168602,0.02503944755416439,4.447280783139926e-05,3.9447554164386495e-05,1.4341731493278704e-05,4.736353936005723,185.7846869334837,0.3882538490559422,0.5243761330014791,0.6252425655387821,4.77689328956354,189.90431991165755,0.040539353557817064,4.119632978173855,7
llama,offkd,20,E_if,14,0.05,684.2857142857143,691.2857142857143,7.0,0.01285405960953539,0.04985797188451072,0.050047568562285524,0.00014202811548928322,4.756856228551658e-05,2.937705744648415e-05,4.736353936005723,185.7846869334837,0.3882538490559422,0.5243761330014791,0.6252425655387821,4.77689328956354,189.90431991165755,0.040539353557817064,4.119632978173855,7
llama,offkd,20,E_if,14,0.1,429.7142857142857,435.7142857142857,6.0,0.015903598227485813,0.09969228748279749,0.10031762736947022,0.00030771251720251657,0.0003176273694702172,0.00021981041698216592,4.736353936005723,185.7846869334837,0.3882538490559422,0.5243761330014791,0.6252425655387821,4.77689328956354,189.90431991165755,0.040539353557817064,4.119632978173855,7
llama,offkd,20,E_math,14,0.01,699.7142857142857,701.7142857142857,2.0,0.0035344049427995052,0.009975254448506722,0.010024170839227686,2.474555149327825e-05,2.4170839227685308e-05,1.065129705505408e-05,4.763032706287861,114.37488194486211,0.3936629290372023,0.542984270827051,0.6640921204936715,4.781656550492651,114.75218677756007,0.01862384420478978,0.37730483269796344,7
llama,offkd,20,E_math,14,0.025,493.57142857142856,495.14285714285717,1.5714285714285714,0.004668172502387214,0.024964727375696678,0.02509193633164992,3.5272624303325186e-05,9.193633164992013e-05,1.9633437331713056e-05,4.763032706287861,114.37488194486211,0.3936629290372023,0.542984270827051,0.6640921204936715,4.781656550492651,114.75218677756007,0.01862384420478978,0.37730483269796344,7
llama,offkd,20,E_math,14,0.05,344.2857142857143,345.42857142857144,1.1428571428571428,0.006817365000416271,0.04989480348602062,0.05019401043323617,0.00010519651397937776,0.0001940104332361656,7.974968306516493e-05,4.763032706287861,114.37488194486211,0.3936629290372023,0.542984270827051,0.6640921204936715,4.781656550492651,114.75218677756007,0.01862384420478978,0.37730483269796344,7
llama,offkd,20,E_math,14,0.1,212.71428571428572,213.14285714285714,0.42857142857142855,0.0034708385373868954,0.09959207354353276,0.10045483181530833,0.0004079264564672419,0.0004548318153083276,0.0003161214848861417,4.763032706287861,114.37488194486211,0.3936629290372023,0.542984270827051,0.6640921204936715,4.781656550492651,114.75218677756007,0.01862384420478978,0.37730483269796344,7
llama,offkd,20,E_ood,14,0.01,1340.7142857142858,1343.5714285714287,2.857142857142857,0.003511595841744928,0.009986360359347945,0.010024731585341378,1.3639640652054782e-05,2.4731585341377857e-05,1.1810058492074274e-05,5.80845772548075,210.4079777996589,0.36892850743835925,0.524059688582468,0.6178646352344687,5.847751852800548,211.75172134221944,0.039294127319798235,1.3437435425605564,7
llama,offkd,20,E_ood,14,0.025,989.8571428571429,992.7142857142857,2.857142857142857,0.004946675626008157,0.0249505918037089,0.025036481249016144,4.94081962911037e-05,3.648124901614244e-05,2.541723791247474e-05,5.80845772548075,210.4079777996589,0.36892850743835925,0.524059688582468,0.6178646352344687,5.847751852800548,211.75172134221944,0.039294127319798235,1.3437435425605564,7
llama,offkd,20,E_ood,14,0.05,715.1428571428571,717.4285714285714,2.2857142857142856,0.006249833867153304,0.049877980763535425,0.050078057102593374,0.00012201923646458204,7.805710259337073e-05,6.04004141671174e-05,5.80845772548075,210.4079777996589,0.36892850743835925,0.524059688582468,0.6178646352344687,5.847751852800548,211.75172134221944,0.039294127319798235,1.3437435425605564,7
llama,offkd,20,E_ood,14,0.1,460.0,461.85714285714283,1.8571428571428572,0.008604992303688866,0.0998739359195262,0.1005365948335539,0.0001260640804738113,0.000536594833553888,0.0001025340738937734,5.80845772548075,210.4079777996589,0.36892850743835925,0.524059688582468,0.6178646352344687,5.847751852800548,211.75172134221944,0.039294127319798235,1.3437435425605564,7
llama,offkd,40,E_general,14,0.01,1391.857142857143,1393.7142857142858,1.8571428571428572,0.00250722577559132,0.00998388160418079,0.010023742952196688,1.6118395819209488e-05,2.3742952196689265e-05,9.462979757875536e-06,7.915584782239038,302.5379553415927,0.350708036613648,0.47119139185401027,0.5708393151476695,7.9667951484733175,302.6426772076835,0.05121036623427914,0.1047218660908398,7
llama,offkd,40,E_general,14,0.025,1048.7142857142858,1050.7142857142858,2.0,0.004615977923906539,0.0249662106840086,0.025050846601529453,3.378931599139906e-05,5.084660152945098e-05,2.040845581111706e-05,7.915584782239038,302.5379553415927,0.350708036613648,0.47119139185401027,0.5708393151476695,7.9667951484733175,302.6426772076835,0.05121036623427914,0.1047218660908398,7
llama,offkd,40,E_general,14,0.05,774.8571428571429,776.2857142857143,1.4285714285714286,0.00512090725727016,0.049906157648391694,0.0500877199765263,9.384235160830669e-05,8.771997652630327e-05,6.262830527585925e-05,7.915584782239038,302.5379553415927,0.350708036613648,0.47119139185401027,0.5708393151476695,7.9667951484733175,302.6426772076835,0.05121036623427914,0.1047218660908398,7
llama,offkd,40,E_general,14,0.1,516.4285714285714,517.2857142857143,0.8571428571428571,0.006016832190803011,0.0996749050369187,0.10026290879262253,0.00032509496308130915,0.0002629087926225313,0.0002201760655003041,7.915584782239038,302.5379553415927,0.350708036613648,0.47119139185401027,0.5708393151476695,7.9667951484733175,302.6426772076835,0.05121036623427914,0.1047218660908398,7
