model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,offkd,20,E_ood,14,0.1,7,7.571428571428571,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.09351295693873649,0.00204977676990774
llama,offkd,40,E_general,14,0.01,7,28.0,1.613866955299309,5.791287682993094,0.6364937873896773,0.8837938180235376,0.0085171962146559,0.0008134569455431572
llama,offkd,40,E_general,14,0.025,7,23.571428571428573,1.613866955299309,5.791287682993094,0.6364937873896773,0.8837938180235376,0.02246335105290543,0.0010418154001398572
llama,offkd,40,E_general,14,0.05,7,18.428571428571427,1.613866955299309,5.791287682993094,0.6364937873896773,0.8837938180235376,0.046548347665139385,0.0009666164557569142
llama,offkd,40,E_general,14,0.1,7,11.714285714285714,1.613866955299309,5.791287682993094,0.6364937873896773,0.8837938180235376,0.09507954376544779,0.0029703505535296428
llama,offkd,40,E_if,14,0.01,7,26.142857142857142,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.008666939483410444,0.0005438883374755078
llama,offkd,40,E_if,14,0.025,7,20.428571428571427,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.02316025896229456,0.0008772246627698858
llama,offkd,40,E_if,14,0.05,7,14.428571428571429,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.04700261431699914,0.0013974842709250427
llama,offkd,40,E_if,14,0.1,7,7.714285714285714,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.09411625923719012,0.0031874715020725856
llama,offkd,40,E_math,14,0.01,7,24.0,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.008904394808690087,0.0003449842767115451
llama,offkd,40,E_math,14,0.025,7,17.142857142857142,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.023688284337733703,0.0006113650193154773
llama,offkd,40,E_math,14,0.05,7,10.857142857142858,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.048022826573695124,0.0015429235337862143
llama,offkd,40,E_math,14,0.1,7,5.428571428571429,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.09190307988570041,0.004297440607979258
llama,offkd,40,E_ood,14,0.01,7,25.428571428571427,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454027,0.009148992025073643,0.0005346631321310538
llama,offkd,40,E_ood,14,0.025,7,19.428571428571427,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454027,0.0236777620049421,0.0008556102723163858
llama,offkd,40,E_ood,14,0.05,7,13.428571428571429,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454027,0.047392058216663584,0.001058767744537739
