model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,offkd,40,E_if,14,0.01,7,1538.0,1543.7142857142858,5.714285714285714,0.004402273576645021,1311.857142857143,1319.857142857143,8.0,0.007584391835045055
llama,offkd,40,E_if,14,0.025,7,1193.142857142857,1200.5714285714287,7.428571428571429,0.007348602780014294,958.7142857142857,966.7142857142857,8.0,0.010560941491708596
llama,offkd,40,E_if,14,0.05,7,894.8571428571429,902.2857142857143,7.428571428571429,0.00964419085998065,683.8571428571429,691.2857142857143,7.428571428571429,0.014788635880968027
llama,offkd,40,E_if,14,0.1,7,586.5714285714286,593.1428571428571,6.571428571428571,0.012731968616450236,430.14285714285717,435.7142857142857,5.571428571428571,0.015053957671962905
llama,offkd,40,E_math,14,0.01,7,833.0,835.1428571428571,2.142857142857143,0.0032880502813229136,699.1428571428571,701.7142857142857,2.5714285714285716,0.0048915909724583356
llama,offkd,40,E_math,14,0.025,7,622.0,624.0,2.0,0.004459782777396151,493.2857142857143,495.14285714285717,1.8571428571428572,0.005386522191510459
llama,offkd,40,E_math,14,0.05,7,457.57142857142856,459.2857142857143,1.7142857142857142,0.005230125500696703,344.14285714285717,345.42857142857144,1.2857142857142858,0.007580861746536337
llama,offkd,40,E_math,14,0.1,7,299.42857142857144,300.42857142857144,1.0,0.004905044838789957,212.57142857142858,213.14285714285714,0.5714285714285714,0.006122620355095954
llama,offkd,40,E_ood,14,0.01,7,1561.0,1565.7142857142858,4.714285714285714,0.0037904152394032968,1338.142857142857,1343.5714285714287,5.428571428571429,0.005709308030656676
llama,offkd,40,E_ood,14,0.025,7,1220.0,1225.2857142857142,5.285714285714286,0.005607850082638922,987.1428571428571,992.7142857142857,5.571428571428571,0.008840709997609737
llama,offkd,40,E_ood,14,0.05,7,922.8571428571429,928.0,5.142857142857143,0.0074841972632131645,712.7142857142857,717.4285714285714,4.714285714285714,0.012084911119022854
llama,offkd,40,E_ood,14,0.1,7,612.1428571428571,616.8571428571429,4.714285714285714,0.010469510631559575,458.2857142857143,461.85714285714283,3.5714285714285716,0.012353153376019431
llama,offkd,80,E_general,14,0.01,7,1608.0,1609.7142857142858,1.7142857142857142,0.0022047039027052215,1391.0,1393.7142857142858,2.7142857142857144,0.0038934454240174047
llama,offkd,80,E_general,14,0.025,7,1280.0,1281.4285714285713,1.4285714285714286,0.0028645386405054206,1048.142857142857,1050.7142857142858,2.5714285714285716,0.006011794697211648
