model,arm_or_pipeline,resolved_arm,arm_resolution,checkpoint_or_rollout_source,n_sequences,n_tokens,weighting,raw_mean,raw_std,raw_min,raw_p01,raw_p05,raw_p10,raw_p25,raw_median,raw_p75,raw_p90,raw_p95,raw_p99,raw_frac_below_0_90,raw_frac_below_0_95,raw_frac_below_0_99,clamped_mean,clamped_std,clamped_min,clamped_p01,clamped_p05,clamped_p10,clamped_p25,clamped_median,clamped_p75,clamped_p90,clamped_p95,clamped_p99,clamped_frac_below_0_90,clamped_frac_below_0_95,clamped_frac_below_0_99,omitted_mean,omitted_std,omitted_min,omitted_p01,omitted_p05,omitted_p10,omitted_p25,omitted_median,omitted_p75,omitted_p90,omitted_p95,omitted_p99,omitted_frac_below_0_90,omitted_frac_below_0_95,omitted_frac_below_0_99
llama,model2_llama,offkd,resolved_from_training_manifest_cycle09_block2_model2_llama_g6_offkd,/root/autodl-tmp/cycle09_block2/model2_llama/rollout/teacher_top32_logprob.npz,5000,15069739,token_weighted,0.9992120265960693,0.018453510478138924,0.05018868297338486,0.9930717945098877,0.9993235468864441,0.9997777938842773,0.9999616146087646,0.9999958276748657,0.9999997019767761,1.0,1.0,1.0000001192092896,0.0009829632749445761,0.001676339583585356,0.007367081805464581,0.9992120265960693,0.018453510478138924,0.05018868297338486,0.9930717945098877,0.9993235468864441,0.9997777938842773,0.9999616146087646,0.9999958276748657,0.9999997019767761,1.0,1.0,1.0,0.0009829632749445761,0.001676339583585356,0.007367081805464581,0.0007874865550547838,0.018453514203429222,0.0,0.0,0.0,0.0,2.980232238769531e-07,4.172325134277344e-06,3.838539123535156e-05,0.00022220611572265625,0.0006764531135559082,0.006928205490112305,0.9998022527132022,1.0,1.0
qwen,offkd,offkd,pipeline_name_only,/root/autodl-tmp/cycle09_offkd/rollout/teacher_top32_logprob.npz,5000,34486621,token_weighted,0.9999874234199524,0.0006890968652442098,0.6882513761520386,0.9997256398200989,0.9999886155128479,0.9999985694885254,0.9999999403953552,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,3.798574525465977e-06,3.392619996026865e-05,0.0005349320827923385,0.9999874234199524,0.0006890967488288879,0.6882513761520386,0.9997256398200989,0.9999886155128479,0.9999985694885254,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,3.798574525465977e-06,3.392619996026865e-05,0.0005349320827923385,2.88377923425287e-05,0.0006889053620398045,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,1.430511474609375e-06,1.138448715209961e-05,0.00027436017990112305,1.0,1.0,1.0
llama,frozen_self,frozen_self,pipeline_name_only,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/frozen_store/top32_logprob.npy,4999,41293123,token_weighted,0.998134434223175,0.013494080863893032,0.04668212682008743,0.9627110958099365,0.9949618577957153,0.9979577660560608,0.9995360374450684,0.999951958656311,0.9999942183494568,0.9999990463256836,0.9999996423721313,1.0,0.0027410375330536273,0.007012257222588855,0.030753183768638667,0.998134434223175,0.013494080863893032,0.04668212682008743,0.9627110958099365,0.9949618577957153,0.9979577660560608,0.9995360374450684,0.999951958656311,0.9999942183494568,0.9999990463256836,0.9999996423721313,1.0,0.0027410375330536273,0.007012257222588855,0.030753183768638667,0.0018649888224899769,0.013494073413312435,0.0,0.0,3.5762786865234375e-07,9.5367431640625e-07,5.781650543212891e-06,4.8041343688964844e-05,0.0004639625549316406,0.002042233943939209,0.005038142204284668,0.037288665771484375,0.9999873828869761,0.9999995640920645,1.0
