model,checkpoint,probe_name,epsilon,metric,deepest_arm,opd_deepest,opd_value,arm_values_json
llama,20,E_ood,0.025,uncentered_absolute_contraction,opd,True,17.428571428571427,"{""offkd"": 2.857142857142857, ""opd"": 17.428571428571427, ""seqkd"": 1.7142857142857142, ""sft"": 6.142857142857143}"
llama,40,E_general,0.025,centered_absolute_contraction,opd,True,10.571428571428571,"{""offkd"": 1.2857142857142858, ""opd"": 10.571428571428571, ""seqkd"": -0.5714285714285714, ""sft"": 4.0}"
llama,40,E_general,0.025,uncentered_absolute_contraction,opd,True,12.428571428571429,"{""offkd"": 2.0, ""opd"": 12.428571428571429, ""seqkd"": -0.2857142857142857, ""sft"": 3.857142857142857}"
llama,40,E_if,0.025,centered_absolute_contraction,opd,True,19.0,"{""offkd"": 7.428571428571429, ""opd"": 19.0, ""seqkd"": 6.571428571428571, ""sft"": 7.714285714285714}"
llama,40,E_if,0.025,uncentered_absolute_contraction,opd,True,23.714285714285715,"{""offkd"": 8.0, ""opd"": 23.714285714285715, ""seqkd"": 7.0, ""sft"": 8.0}"
llama,40,E_math,0.025,centered_absolute_contraction,opd,True,14.714285714285714,"{""offkd"": 2.0, ""opd"": 14.714285714285714, ""seqkd"": -0.14285714285714285, ""sft"": 6.0}"
llama,40,E_math,0.025,uncentered_absolute_contraction,opd,True,16.142857142857142,"{""offkd"": 1.8571428571428572, ""opd"": 16.142857142857142, ""seqkd"": 0.42857142857142855, ""sft"": 6.285714285714286}"
llama,40,E_ood,0.025,centered_absolute_contraction,opd,True,19.285714285714285,"{""offkd"": 5.285714285714286, ""opd"": 19.285714285714285, ""seqkd"": 3.4285714285714284, ""sft"": 6.714285714285714}"
llama,40,E_ood,0.025,uncentered_absolute_contraction,opd,True,22.857142857142858,"{""offkd"": 5.571428571428571, ""opd"": 22.857142857142858, ""seqkd"": 3.5714285714285716, ""sft"": 6.142857142857143}"
llama,80,E_general,0.025,centered_absolute_contraction,opd,True,12.285714285714286,"{""offkd"": 1.4285714285714286, ""opd"": 12.285714285714286, ""seqkd"": -0.8571428571428571, ""sft"": 5.428571428571429}"
llama,80,E_general,0.025,uncentered_absolute_contraction,opd,True,14.428571428571429,"{""offkd"": 2.5714285714285716, ""opd"": 14.428571428571429, ""seqkd"": -0.2857142857142857, ""sft"": 5.714285714285714}"
llama,80,E_if,0.025,centered_absolute_contraction,opd,True,22.714285714285715,"{""offkd"": 8.428571428571429, ""opd"": 22.714285714285715, ""seqkd"": 5.857142857142857, ""sft"": 12.571428571428571}"
llama,80,E_if,0.025,uncentered_absolute_contraction,opd,True,26.571428571428573,"{""offkd"": 10.142857142857142, ""opd"": 26.571428571428573, ""seqkd"": 6.714285714285714, ""sft"": 14.142857142857142}"
llama,80,E_math,0.025,centered_absolute_contraction,opd,True,16.0,"{""offkd"": 3.2857142857142856, ""opd"": 16.0, ""seqkd"": 0.8571428571428571, ""sft"": 8.857142857142858}"
llama,80,E_math,0.025,uncentered_absolute_contraction,opd,True,17.0,"{""offkd"": 3.857142857142857, ""opd"": 17.0, ""seqkd"": 1.8571428571428572, ""sft"": 9.571428571428571}"
llama,80,E_ood,0.025,centered_absolute_contraction,opd,True,24.571428571428573,"{""offkd"": 8.0, ""opd"": 24.571428571428573, ""seqkd"": 4.714285714285714, ""sft"": 10.428571428571429}"
llama,80,E_ood,0.025,uncentered_absolute_contraction,opd,True,27.571428571428573,"{""offkd"": 8.428571428571429, ""opd"": 27.571428571428573, ""seqkd"": 5.285714285714286, ""sft"": 10.428571428571429}"
llama,20,E_general,0.05,centered_absolute_contraction,opd,True,7.571428571428571,"{""offkd"": 0.5714285714285714, ""opd"": 7.571428571428571, ""seqkd"": -0.7142857142857143, ""sft"": 3.7142857142857144}"
llama,20,E_general,0.05,uncentered_absolute_contraction,opd,True,9.0,"{""offkd"": 0.5714285714285714, ""opd"": 9.0, ""seqkd"": -0.5714285714285714, ""sft"": 2.857142857142857}"
llama,20,E_if,0.05,centered_absolute_contraction,opd,True,11.714285714285714,"{""offkd"": 7.0, ""opd"": 11.714285714285714, ""seqkd"": 6.428571428571429, ""sft"": 6.714285714285714}"
llama,20,E_if,0.05,uncentered_absolute_contraction,opd,True,16.0,"{""offkd"": 7.0, ""opd"": 16.0, ""seqkd"": 7.0, ""sft"": 6.571428571428571}"
llama,20,E_math,0.05,centered_absolute_contraction,opd,True,9.714285714285714,"{""offkd"": 1.1428571428571428, ""opd"": 9.714285714285714, ""seqkd"": 0.14285714285714285, ""sft"": 5.142857142857143}"
llama,20,E_math,0.05,uncentered_absolute_contraction,opd,True,11.571428571428571,"{""offkd"": 1.1428571428571428, ""opd"": 11.571428571428571, ""seqkd"": 0.2857142857142857, ""sft"": 4.571428571428571}"
llama,20,E_ood,0.05,centered_absolute_contraction,opd,True,12.428571428571429,"{""offkd"": 2.4285714285714284, ""opd"": 12.428571428571429, ""seqkd"": 1.5714285714285714, ""sft"": 7.0}"
llama,20,E_ood,0.05,uncentered_absolute_contraction,opd,True,15.714285714285714,"{""offkd"": 2.2857142857142856, ""opd"": 15.714285714285714, ""seqkd"": 1.4285714285714286, ""sft"": 5.571428571428571}"
llama,40,E_general,0.05,centered_absolute_contraction,opd,True,10.714285714285714,"{""offkd"": 1.0, ""opd"": 10.714285714285714, ""seqkd"": -0.5714285714285714, ""sft"": 4.142857142857143}"
llama,40,E_general,0.05,uncentered_absolute_contraction,opd,True,11.571428571428571,"{""offkd"": 1.4285714285714286, ""opd"": 11.571428571428571, ""seqkd"": -0.42857142857142855, ""sft"": 3.5714285714285716}"
llama,40,E_if,0.05,centered_absolute_contraction,opd,True,19.0,"{""offkd"": 7.428571428571429, ""opd"": 19.0, ""seqkd"": 6.857142857142857, ""sft"": 7.857142857142857}"
llama,40,E_if,0.05,uncentered_absolute_contraction,opd,True,21.428571428571427,"{""offkd"": 7.428571428571429, ""opd"": 21.428571428571427, ""seqkd"": 6.428571428571429, ""sft"": 7.714285714285714}"
llama,40,E_math,0.05,centered_absolute_contraction,opd,True,13.285714285714286,"{""offkd"": 1.7142857142857142, ""opd"": 13.285714285714286, ""seqkd"": 0.14285714285714285, ""sft"": 5.428571428571429}"
llama,40,E_math,0.05,uncentered_absolute_contraction,opd,True,13.428571428571429,"{""offkd"": 1.2857142857142858, ""opd"": 13.428571428571429, ""seqkd"": 0.14285714285714285, ""sft"": 5.0}"
llama,40,E_ood,0.05,centered_absolute_contraction,opd,True,19.428571428571427,"{""offkd"": 5.142857142857143, ""opd"": 19.428571428571427, ""seqkd"": 3.5714285714285716, ""sft"": 7.0}"
llama,40,E_ood,0.05,uncentered_absolute_contraction,opd,True,20.285714285714285,"{""offkd"": 4.714285714285714, ""opd"": 20.285714285714285, ""seqkd"": 2.857142857142857, ""sft"": 5.857142857142857}"
llama,80,E_general,0.05,centered_absolute_contraction,opd,True,12.571428571428571,"{""offkd"": 1.7142857142857142, ""opd"": 12.571428571428571, ""seqkd"": -0.8571428571428571, ""sft"": 5.857142857142857}"
llama,80,E_general,0.05,uncentered_absolute_contraction,opd,True,13.0,"{""offkd"": 2.0, ""opd"": 13.0, ""seqkd"": -0.42857142857142855, ""sft"": 5.142857142857143}"
llama,80,E_if,0.05,centered_absolute_contraction,opd,True,22.285714285714285,"{""offkd"": 9.0, ""opd"": 22.285714285714285, ""seqkd"": 6.142857142857143, ""sft"": 12.857142857142858}"
llama,80,E_if,0.05,uncentered_absolute_contraction,opd,True,23.857142857142858,"{""offkd"": 9.142857142857142, ""opd"": 23.857142857142858, ""seqkd"": 5.857142857142857, ""sft"": 13.0}"
llama,80,E_math,0.05,centered_absolute_contraction,opd,True,14.428571428571429,"{""offkd"": 3.5714285714285716, ""opd"": 14.428571428571429, ""seqkd"": 1.0, ""sft"": 8.0}"
llama,80,E_math,0.05,uncentered_absolute_contraction,opd,True,14.0,"{""offkd"": 3.2857142857142856, ""opd"": 14.0, ""seqkd"": 1.0, ""sft"": 8.142857142857142}"
llama,80,E_ood,0.05,centered_absolute_contraction,opd,True,24.857142857142858,"{""offkd"": 8.142857142857142, ""opd"": 24.857142857142858, ""seqkd"": 4.857142857142857, ""sft"": 10.571428571428571}"
llama,80,E_ood,0.05,uncentered_absolute_contraction,opd,True,24.714285714285715,"{""offkd"": 7.428571428571429, ""opd"": 24.714285714285715, ""seqkd"": 4.428571428571429, ""sft"": 9.571428571428571}"
llama,20,E_general,0.1,centered_absolute_contraction,opd,True,7.285714285714286,"{""offkd"": 0.8571428571428571, ""opd"": 7.285714285714286, ""seqkd"": -0.5714285714285714, ""sft"": 3.7142857142857144}"
llama,20,E_general,0.1,uncentered_absolute_contraction,opd,True,7.857142857142857,"{""offkd"": 0.5714285714285714, ""opd"": 7.857142857142857, ""seqkd"": -0.2857142857142857, ""sft"": 2.7142857142857144}"
llama,20,E_if,0.1,centered_absolute_contraction,opd,True,10.285714285714286,"{""offkd"": 6.142857142857143, ""opd"": 10.285714285714286, ""seqkd"": 5.857142857142857, ""sft"": 5.857142857142857}"
llama,20,E_if,0.1,uncentered_absolute_contraction,opd,True,12.857142857142858,"{""offkd"": 6.0, ""opd"": 12.857142857142858, ""seqkd"": 5.571428571428571, ""sft"": 5.428571428571429}"
llama,20,E_math,0.1,centered_absolute_contraction,opd,True,7.571428571428571,"{""offkd"": 0.5714285714285714, ""opd"": 7.571428571428571, ""seqkd"": -0.14285714285714285, ""sft"": 3.857142857142857}"
llama,20,E_math,0.1,uncentered_absolute_contraction,opd,True,8.428571428571429,"{""offkd"": 0.42857142857142855, ""opd"": 8.428571428571429, ""seqkd"": -0.14285714285714285, ""sft"": 3.2857142857142856}"
llama,20,E_ood,0.1,centered_absolute_contraction,opd,True,11.142857142857142,"{""offkd"": 2.0, ""opd"": 11.142857142857142, ""seqkd"": 1.2857142857142858, ""sft"": 6.428571428571429}"
llama,20,E_ood,0.1,uncentered_absolute_contraction,opd,True,12.428571428571429,"{""offkd"": 1.8571428571428572, ""opd"": 12.428571428571429, ""seqkd"": 1.1428571428571428, ""sft"": 4.571428571428571}"
llama,40,E_general,0.1,centered_absolute_contraction,opd,True,9.857142857142858,"{""offkd"": 1.0, ""opd"": 9.857142857142858, ""seqkd"": -0.5714285714285714, ""sft"": 3.857142857142857}"
llama,40,E_general,0.1,uncentered_absolute_contraction,opd,True,9.571428571428571,"{""offkd"": 0.8571428571428571, ""opd"": 9.571428571428571, ""seqkd"": -0.7142857142857143, ""sft"": 3.2857142857142856}"
llama,40,E_if,0.1,centered_absolute_contraction,opd,True,16.428571428571427,"{""offkd"": 6.571428571428571, ""opd"": 16.428571428571427, ""seqkd"": 6.0, ""sft"": 6.857142857142857}"
llama,40,E_if,0.1,uncentered_absolute_contraction,opd,True,17.142857142857142,"{""offkd"": 5.571428571428571, ""opd"": 17.142857142857142, ""seqkd"": 5.285714285714286, ""sft"": 6.428571428571429}"
llama,40,E_math,0.1,centered_absolute_contraction,opd,True,10.285714285714286,"{""offkd"": 1.0, ""opd"": 10.285714285714286, ""seqkd"": -0.14285714285714285, ""sft"": 4.285714285714286}"
llama,40,E_math,0.1,uncentered_absolute_contraction,opd,True,9.714285714285714,"{""offkd"": 0.5714285714285714, ""opd"": 9.714285714285714, ""seqkd"": -0.42857142857142855, ""sft"": 3.7142857142857144}"
llama,40,E_ood,0.1,centered_absolute_contraction,opd,True,17.428571428571427,"{""offkd"": 4.714285714285714, ""opd"": 17.428571428571427, ""seqkd"": 3.0, ""sft"": 6.285714285714286}"
llama,40,E_ood,0.1,uncentered_absolute_contraction,opd,True,16.0,"{""offkd"": 3.5714285714285716, ""opd"": 16.0, ""seqkd"": 2.142857142857143, ""sft"": 4.857142857142857}"
llama,80,E_general,0.1,centered_absolute_contraction,opd,True,11.714285714285714,"{""offkd"": 1.4285714285714286, ""opd"": 11.714285714285714, ""seqkd"": -1.0, ""sft"": 5.285714285714286}"
llama,80,E_general,0.1,uncentered_absolute_contraction,opd,True,10.857142857142858,"{""offkd"": 1.1428571428571428, ""opd"": 10.857142857142858, ""seqkd"": -1.1428571428571428, ""sft"": 4.714285714285714}"
llama,80,E_if,0.1,centered_absolute_contraction,opd,True,19.142857142857142,"{""offkd"": 7.857142857142857, ""opd"": 19.142857142857142, ""seqkd"": 5.285714285714286, ""sft"": 11.142857142857142}"
llama,80,E_if,0.1,uncentered_absolute_contraction,opd,True,19.0,"{""offkd"": 6.857142857142857, ""opd"": 19.0, ""seqkd"": 4.714285714285714, ""sft"": 10.428571428571429}"
llama,80,E_math,0.1,centered_absolute_contraction,opd,True,10.857142857142858,"{""offkd"": 2.4285714285714284, ""opd"": 10.857142857142858, ""seqkd"": 0.42857142857142855, ""sft"": 6.285714285714286}"
llama,80,E_math,0.1,uncentered_absolute_contraction,opd,True,10.0,"{""offkd"": 1.7142857142857142, ""opd"": 10.0, ""seqkd"": 0.42857142857142855, ""sft"": 6.0}"
llama,80,E_ood,0.1,centered_absolute_contraction,opd,True,22.285714285714285,"{""offkd"": 7.0, ""opd"": 22.285714285714285, ""seqkd"": 4.571428571428571, ""sft"": 9.571428571428571}"
llama,80,E_ood,0.1,uncentered_absolute_contraction,opd,True,19.428571428571427,"{""offkd"": 5.714285714285714, ""opd"": 19.428571428571427, ""seqkd"": 3.4285714285714284, ""sft"": 8.142857142857142}"
