model,target,task_type,feature_block,heldout_checkpoint,train_checkpoints,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
llama,absolute_delta_nll_cumulative,regression,Pk,5,"20,40,160",16,-23.484717492629553,0.04363320574977447,0.49719803132448265,0.0443777793940396,0.011217332522810843,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk,20,"5,40,160",16,-1.3461682806815776,0.0757835853793613,0.48507125007266594,0.14702880282393224,0.07508994369118932,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk,40,"5,20,160",16,0.5541231875672725,0.05576389114262203,0.6548461875980991,0.20418892788676202,0.10952595669361583,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk,160,"5,20,40",16,-0.9135947583776021,0.14575905439415116,0.24253562503633297,0.26630629308830756,0.12859366341319714,,,,,
llama,absolute_delta_nll_cumulative,regression,A+C,5,"20,40,160",16,-15.840315022099873,0.041714125368809404,0.888235294117647,0.0443777793940396,0.011217332522810843,,,,,
llama,absolute_delta_nll_cumulative,regression,A+C,20,"5,40,160",16,0.7454668498896458,0.029666047381853865,0.9176470588235294,0.14702880282393224,0.07508994369118932,,,,,
llama,absolute_delta_nll_cumulative,regression,A+C,40,"5,20,160",16,0.8513292999301045,0.033859065951445215,0.8382352941176471,0.20418892788676202,0.10952595669361583,,,,,
llama,absolute_delta_nll_cumulative,regression,A+C,160,"5,20,40",16,0.6329548490940762,0.06893028786315827,0.7705882352941176,0.26630629308830756,0.12859366341319714,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A,5,"20,40,160",16,-37.34435553049921,0.057934295142965886,0.8147058823529412,0.0443777793940396,0.011217332522810843,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A,20,"5,40,160",16,-1.2027177654425394,0.06643006956272957,0.8323529411764706,0.14702880282393224,0.07508994369118932,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A,40,"5,20,160",16,0.6557379352414685,0.056347149150340434,0.8558823529411764,0.20418892788676202,0.10952595669361583,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A,160,"5,20,40",16,-1.0971714280381186,0.1441423452958514,0.32647058823529407,0.26630629308830756,0.12859366341319714,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+C,5,"20,40,160",16,-12.875670996401526,0.03215520363515996,0.5852941176470587,0.0443777793940396,0.011217332522810843,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+C,20,"5,40,160",16,0.17605721533443985,0.045476969974222466,0.8352941176470589,0.14702880282393224,0.07508994369118932,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+C,40,"5,20,160",16,0.8052366829617649,0.040644107422969165,0.8205882352941177,0.20418892788676202,0.10952595669361583,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+C,160,"5,20,40",16,-0.17375810462957042,0.11053120804655209,0.4794117647058824,0.26630629308830756,0.12859366341319714,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A+C,5,"20,40,160",16,-16.89601157004844,0.03886569759186473,0.8558823529411764,0.0443777793940396,0.011217332522810843,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A+C,20,"5,40,160",16,-0.05038231495976597,0.04868622486019643,0.8823529411764707,0.14702880282393224,0.07508994369118932,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A+C,40,"5,20,160",16,0.8314702688793689,0.03841751393568042,0.9294117647058824,0.20418892788676202,0.10952595669361583,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk+A+C,160,"5,20,40",16,-0.2822485619597144,0.1115499742700748,0.5147058823529412,0.26630629308830756,0.12859366341319714,,,,,
llama,delta_nll_cumulative,regression,A,5,"20,40,160",16,-136.99515267327544,0.0269767666839695,0.02058823529411765,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,A,20,"5,40,160",16,0.04605008624125839,0.029473456228937225,0.3382352941176471,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,A,40,"5,20,160",16,0.3327419689657951,0.03807779220176115,0.3058823529411765,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,A,160,"5,20,40",16,0.2437342301054224,0.04942631765899953,0.6294117647058822,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,C,5,"20,40,160",16,-111.09345684880917,0.03149334925984911,-0.19705882352941176,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,C,20,"5,40,160",16,0.4810994237597459,0.023565094068846465,0.3764705882352941,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,C,40,"5,20,160",16,0.5891378092612831,0.034539380271774986,0.45294117647058824,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,C,160,"5,20,40",16,0.48644471933520195,0.04774903906243647,0.611764705882353,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,Pk,5,"20,40,160",16,-250.72411526646675,0.04141015969286735,0.19402850002906638,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,Pk,20,"5,40,160",16,-0.816097172540013,0.03305392593375652,0.5093248125762992,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,Pk,40,"5,20,160",16,0.585835059619213,0.03157969049022062,0.6548461875980991,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,Pk,160,"5,20,40",16,0.5347726756188422,0.03929201815419265,0.5335783750799326,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,A+C,5,"20,40,160",16,-234.86917940908856,0.045522438863569596,0.3294117647058824,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,A+C,20,"5,40,160",16,0.5255601097511794,0.020725023844558627,0.6,0.009544498756565305,0.03851624739454134,,,,,
